place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
47,50,122.66,shagnastyball17,Cam Skattebo,Ja'Marr Chase,Ladd McConkey,Chuba Hubbard,Mason Taylor,C.J. Stroud
48,50,122.36,samolson31,Jonathan Taylor,Emeka Egbuka,Jake Ferguson,Tre Tucker,Keenan Allen,Baker Mayfield
49,50,122.16,ingelx,Derrick Henry,Emeka Egbuka,Deebo Samuel,Sam LaPorta,Rachaad White,Baker Mayfield
50,50,122.04,ryleetaylor,Jaxon Smith-Njigba,Javonte Williams,Jaylen Waddle,Juwan Johnson,Rachaad White,Sam Darnold
51,35,121.8,cbrook,Jaxon Smith-Njigba,Ja'Marr Chase,Rico Dowdle,Michael Pittman Jr.,Taysom Hill,Sam Darnold
52,35,121.72,bifftannen,Amon-Ra St. Brown,Ja'Marr Chase,Rico Dowdle,Michael Pittman Jr.,Jared Goff,Theo Johnson
53,35,121.56,krutches93,Jonathan Taylor,Jake Ferguson,Emeka Egbuka,Chase Brown,Keenan Allen,Baker Mayfield
53,35,121.56,danjpreciado,Jonathan Taylor,Emeka Egbuka,Jake Ferguson,Chase Brown,Keenan Allen,Baker Mayfield
55,35,121.54,patrickbarnesyoutube,De'Von Achane,Emeka Egbuka,Jaylen Waddle,Rachaad White,Tua Tagovailoa,Darren Waller
56,35,121.44,ingelx,Ashton Jeanty,Nico Collins,Chuba Hubbard,Jake Ferguson,Jaylen Waddle,Tua Tagovailoa
57,35,121.34,mosioatunya,Jaxon Smith-Njigba,Nico Collins,Rico Dowdle,Chase Brown,Sam Darnold,Darren Waller
58,35,121.32,jeffern8,Jonathan Taylor,Justin Fields,Emeka Egbuka,Chris Olave,Mason Taylor,J.K. Dobbins
59,35,121.08,fflinx,Bucky Irving,George Pickens,Jake Ferguson,Courtland Sutton,Dak Prescott,J.K. Dobbins
60,35,121.06,ingelx,Jahmyr Gibbs,Jaylen Waddle,Emeka Egbuka,Zach Ertz,Rico Dowdle,Baker Mayfield
61,35,120.96,danjpreciado,Saquon Barkley,Emeka Egbuka,Rachaad White,Sam LaPorta,Baker Mayfield,Tory Horton
62,35,120.84,beriov,Jaxon Smith-Njigba,Ja'Marr Chase,Jake Ferguson,Jameson Williams,Sam Darnold,Rachaad White
63,35,120.64,mosioatunya,Jaxon Smith-Njigba,Ja'Marr Chase,Jayden Daniels,Bucky Irving,J.K. Dobbins,Theo Johnson
64,35,120.6,ingelx,Jonathan Taylor,Emeka Egbuka,Jaylen Waddle,Sam LaPorta,Kyler Murray,Tee Higgins
65,35,120.58,crblake2,Jonathan Taylor,Emeka Egbuka,Jaylen Waddle,A.J. Brown,Jaxson Dart,Theo Johnson
66,35,120.56,botown,Jonathan Taylor,David Montgomery,Jake Ferguson,Keenan Allen,DeVonta Smith,Sam Darnold
67,35,120.38,chessliam,Ja'Marr Chase,George Pickens,Ladd McConkey,Rico Dowdle,Dak Prescott,Cade Otton
68,35,120.34,danjpreciado,Jaxon Smith-Njigba,Emeka Egbuka,Sam LaPorta,Tony Pollard,Tee Higgins,Sam Darnold
69,35,120.1,mane,Jaxon Smith-Njigba,George Pickens,David Montgomery,Sam LaPorta,Bucky Irving,Bo Nix
70,35,120.04,giraffeparade,Bucky Irving,Ja'Marr Chase,Lamar Jackson,Marvin Harrison,Tony Pollard,Dallas Goedert
71,35,119.96,fflinx,Jonathan Taylor,Emeka Egbuka,Quentin Johnston,Rachaad White,Baker Mayfield,Dallas Goedert
72,35,119.74,tonysprocket,Jaxon Smith-Njigba,Bucky Irving,Tyler Warren,Jakobi Meyers,Rashid Shaheed,Sam Darnold
73,35,119.66,goazcards,George Pickens,Javonte Williams,Chuba Hubbard,Michael Pittman Jr.,C.J. Stroud,Dalton Schultz
74,35,119.62,ingelx,Amon-Ra St. Brown,Nico Collins,Emeka Egbuka,Sam LaPorta,Jared Goff,Jacory Croskey-Merritt
75,35,119.58,lee121503,Jonathan Taylor,Jake Ferguson,Jaylen Waddle,Dak Prescott,Sean Tucker,Rashid Shaheed
75,35,119.58,nf42,Garrett Wilson,George Pickens,Sam LaPorta,Courtland Sutton,Dak Prescott,Bucky Irving
77,35,119.54,mrdevore3,Jaxon Smith-Njigba,Emeka Egbuka,Marvin Harrison,J.K. Dobbins,Sam Darnold,Mason Taylor
78,35,119.46,berettajames,Jonathan Taylor,Jaylen Waddle,Deebo Samuel,Marvin Harrison,Evan Engram,Baker Mayfield
79,35,119.3,ad5,Jonathan Taylor,Emeka Egbuka,Ladd McConkey,Kyler Murray,DeVonta Smith,Theo Johnson
80,35,119.18,danjpreciado,Jonathan Taylor,Emeka Egbuka,Jake Ferguson,Chris Olave,Courtland Sutton,Jaxson Dart
81,35,119.08,nf42,Garrett Wilson,Javonte Williams,Deebo Samuel,Rachaad White,Jaxson Dart,Theo Johnson
82,35,119.04,tubinis2121,Amon-Ra St. Brown,Ja'Marr Chase,Chuba Hubbard,Sam LaPorta,Chase Brown,Jake Browning
83,35,118.98,lee121503,George Pickens,Garrett Wilson,Sam LaPorta,Rico Dowdle,Tony Pollard,Dak Prescott
84,35,118.96,mosioatunya,Saquon Barkley,Emeka Egbuka,Rachaad White,Sam LaPorta,Chris Olave,Baker Mayfield
85,35,118.92,d4ve,Jaxon Smith-Njigba,Javonte Williams,Justin Fields,Zay Flowers,Theo Johnson,DeVonta Smith
86,35,118.78,shagnastyball17,Jonathan Taylor,Bucky Irving,Jake Ferguson,Dak Prescott,Wan'Dale Robinson,Rashid Shaheed
87,35,118.66,dabk,Saquon Barkley,Nico Collins,Ladd McConkey,Rico Dowdle,Darren Waller,C.J. Stroud
88,35,118.48,vindep,Saquon Barkley,Ja'Marr Chase,Rico Dowdle,Sam LaPorta,Zay Flowers,Bo Nix
89,35,118.44,ez116,Jaxon Smith-Njigba,Ashton Jeanty,Deebo Samuel,Rico Dowdle,Juwan Johnson,Sam Darnold
90,35,118.36,razor33,Jaxon Smith-Njigba,Nico Collins,Rico Dowdle,Chase Brown,Mason Taylor,C.J. Stroud
90,35,118.36,danjpreciado,Jaxon Smith-Njigba,Emeka Egbuka,Sam LaPorta,Tony Pollard,Zay Flowers,Baker Mayfield
92,35,118.06,razor33,Nico Collins,Ja'Marr Chase,Chuba Hubbard,Sam LaPorta,C.J. Stroud,Chris Rodriguez
93,35,118.04,awe419,Jaxon Smith-Njigba,Trey McBride,Rico Dowdle,Tony Pollard,DeVonta Smith,Sam Darnold
94,35,118,tonysprocket,Jonathan Taylor,David Montgomery,Jake Ferguson,Dak Prescott,Michael Pittman Jr.,Tre Tucker
95,35,117.94,urbanik,Jaxon Smith-Njigba,Ja'Marr Chase,Kenneth Walker III,Sam LaPorta,Tony Pollard,Sam Darnold
96,35,117.92,danjpreciado,Jonathan Taylor,Rachaad White,Jaylen Waddle,Keenan Allen,Jared Goff,Theo Johnson
97,35,117.9,tbrook3434,David Montgomery,Javonte Williams,Ladd McConkey,Sam LaPorta,Dak Prescott,DeVonta Smith
98,35,117.78,spencer7455,Amon-Ra St. Brown,Emeka Egbuka,Jake Ferguson,Michael Pittman Jr.,Dak Prescott,J.K. Dobbins
99,35,117.64,mtmrevolt,Jonathan Taylor,Jayden Daniels,Deebo Samuel,Rachaad White,Theo Johnson,Tory Horton
100,35,117.48,mosioatunya,Omarion Hampton,Ja'Marr Chase,Deebo Samuel,Rico Dowdle,Dak Prescott,Juwan Johnson
101,30,117.34,razor33,Jaxon Smith-Njigba,Ja'Marr Chase,Sam LaPorta,Rachaad White,Sam Darnold,Chris Rodriguez
102,30,117.26,thewood1105,Jaxon Smith-Njigba,David Montgomery,Jake Ferguson,Michael Pittman Jr.,J.K. Dobbins,Sam Darnold
103,30,117.16,mosioatunya,Jonathan Taylor,Jaylen Waddle,Emeka Egbuka,Chris Olave,Baker Mayfield,Mark Andrews
104,30,117.08,ckni65,Jahmyr Gibbs,Jake Ferguson,Jaylen Waddle,Dak Prescott,Tony Pollard,Rashid Shaheed
105,30,116.64,arstephens11,Jonathan Taylor,Jaylen Waddle,David Montgomery,Jared Goff,Michael Pittman Jr.,Darren Waller
105,30,116.64,goazcards,Jaxon Smith-Njigba,Javonte Williams,Jake Ferguson,Courtland Sutton,Chris Godwin,Sam Darnold
107,30,116.54,danjpreciado,Jahmyr Gibbs,Jaylen Waddle,Jake Ferguson,A.J. Brown,Rico Dowdle,Tua Tagovailoa
108,30,116.5,freefries,Amon-Ra St. Brown,Emeka Egbuka,David Montgomery,Rachaad White,Lamar Jackson,Theo Johnson
109,30,116.48,berettajames,Jonathan Taylor,Jaylen Waddle,Rachaad White,Chris Olave,Jaxson Dart,Theo Johnson
110,30,116.44,kuruc711,Jaxon Smith-Njigba,Ja'Marr Chase,Rico Dowdle,Wan'Dale Robinson,Dalton Schultz,Jake Browning
111,30,116.38,fflinx,Jonathan Taylor,Tyler Warren,Emeka Egbuka,Daniel Jones,Keenan Allen,Rachaad White
112,30,116.34,danjpreciado,Jonathan Taylor,Jaylen Waddle,Rico Dowdle,Tua Tagovailoa,Chris Godwin,Dalton Schultz
113,30,116.26,kuruc711,Jonathan Taylor,Rachaad White,Jake Ferguson,Chris Godwin,Courtland Sutton,Baker Mayfield
113,30,116.26,krutches93,Jonathan Taylor,Emeka Egbuka,Deebo Samuel,Chris Olave,Juwan Johnson,Baker Mayfield
115,30,116.24,goazcards,Garrett Wilson,Justin Fields,David Montgomery,Michael Pittman Jr.,Mason Taylor,Bucky Irving
116,30,116.22,bigtruckin,Jaxon Smith-Njigba,Justin Fields,Sam LaPorta,Chris Olave,Kenneth Walker III,Rico Dowdle
116,30,116.22,krutches93,Saquon Barkley,Ja'Marr Chase,Sam LaPorta,Jakobi Meyers,Jared Goff,Bucky Irving
118,30,116.18,kitmo,De'Von Achane,Deebo Samuel,Jake Ferguson,Keenan Allen,Dak Prescott,Jacory Croskey-Merritt
118,30,116.18,imagikarp,Breece Hall,Ja'Marr Chase,Rico Dowdle,Daniel Jones,Courtland Sutton,Mason Taylor
120,30,116.06,sickodank,Jonathan Taylor,David Montgomery,Jake Ferguson,DeVonta Smith,Zay Flowers,Tua Tagovailoa
121,30,116,awe419,Omarion Hampton,Jaylen Waddle,Jake Ferguson,Rico Dowdle,Kyler Murray,Rashid Shaheed
122,30,115.76,danjpreciado,Derrick Henry,Ja'Marr Chase,Emeka Egbuka,Sam LaPorta,Chase Brown,Baker Mayfield
123,30,115.74,fitzdraftmagic,Jaxon Smith-Njigba,Emeka Egbuka,Marvin Harrison,J.K. Dobbins,Dallas Goedert,Sam Darnold
124,30,115.68,hdjdhdjdjsk,Jonathan Taylor,Emeka Egbuka,Jake Ferguson,Kenneth Walker III,Dak Prescott,Jalen Tolbert
125,30,115.56,wutangkillabees,Jaxon Smith-Njigba,Emeka Egbuka,Rachaad White,Chase Brown,Baker Mayfield,Dalton Schultz
125,30,115.56,lenkeith,Jahmyr Gibbs,Jaylen Waddle,Emeka Egbuka,Darren Waller,Kenneth Walker III,Baker Mayfield
127,30,115.52,krutches93,Amon-Ra St. Brown,Emeka Egbuka,Rico Dowdle,Tony Pollard,Jared Goff,Dallas Goedert
128,30,115.38,lee121503,Jaxon Smith-Njigba,George Pickens,Ladd McConkey,Sam LaPorta,Dak Prescott,Rachaad White
129,30,115.34,sportsandhype,Jahmyr Gibbs,Jaylen Waddle,Rico Dowdle,Darren Waller,Tee Higgins,Tua Tagovailoa
129,30,115.34,krutches93,Jonathan Taylor,Jake Ferguson,A.J. Brown,Keenan Allen,Rachaad White,Lamar Jackson
131,30,115.28,mosioatunya,De'Von Achane,Emeka Egbuka,Jake Ferguson,Dak Prescott,Courtland Sutton,Zach Charbonnet
132,30,115.18,fflinx,Jahmyr Gibbs,Emeka Egbuka,Jake Ferguson,Courtland Sutton,Dak Prescott,Tre Tucker
133,30,115.16,nez,Amon-Ra St. Brown,Emeka Egbuka,Jake Ferguson,Rachaad White,Jakobi Meyers,Baker Mayfield
133,30,115.16,kittcarson44,Jonathan Taylor,Jaylen Waddle,David Montgomery,Keenan Allen,Darren Waller,Tua Tagovailoa
135,30,115.12,bestballviper,Jahmyr Gibbs,Justin Fields,Jaylen Waddle,Chris Olave,Mason Taylor,Rico Dowdle
136,30,115.08,nez,Jonathan Taylor,Deebo Samuel,Jake Ferguson,Dak Prescott,Keenan Allen,Josh Downs
136,30,115.08,mtmrevolt,Jaxon Smith-Njigba,Bucky Irving,Deebo Samuel,Sam LaPorta,Jaxson Dart,Emari Demercado
138,30,115.06,qbtheking22,Saquon Barkley,George Pickens,Emeka Egbuka,Sam LaPorta,Courtland Sutton,Baker Mayfield
138,30,115.06,mosioatunya,Jaxon Smith-Njigba,David Montgomery,Rico Dowdle,Jakobi Meyers,Sam Darnold,Dallas Goedert
140,30,114.98,nf42,Jaxon Smith-Njigba,Tetairoa McMillan,Jake Ferguson,A.J. Brown,Dak Prescott,Jacory Croskey-Merritt
141,30,114.9,sickodank,Jaxon Smith-Njigba,David Montgomery,Rico Dowdle,Courtland Sutton,Bo Nix,Evan Engram
142,30,114.88,schmoe330,Ashton Jeanty,Javonte Williams,Sam LaPorta,Dak Prescott,Tee Higgins,Rashid Shaheed
143,30,114.84,th3what,Jonathan Taylor,Jaylen Waddle,Jake Ferguson,Keenan Allen,Tony Pollard,Tua Tagovailoa
144,30,114.74,dfslegend,Ja'Marr Chase,Javonte Williams,Deebo Samuel,Brock Bowers,Jake Browning,Rashid Shaheed
144,30,114.74,awe419,Saquon Barkley,Ja'Marr Chase,Rico Dowdle,Chris Olave,Dallas Goedert,Tua Tagovailoa
144,30,114.74,berettajames,Jonathan Taylor,Emeka Egbuka,Quentin Johnston,Courtland Sutton,Dallas Goedert,Sam Darnold
147,30,114.66,mathology,Jonathan Taylor,Trey Benson,Emeka Egbuka,Chris Godwin,Baker Mayfield,Zach Ertz
148,30,114.62,hdjdhdjdjsk,Garrett Wilson,Justin Fields,Kenneth Walker III,Rico Dowdle,Rashid Shaheed,Mason Taylor
149,30,114.58,tyler2121,Jonathan Taylor,Jaylen Waddle,Jake Ferguson,Dak Prescott,Tee Higgins,Emari Demercado
150,30,114.54,tronbombz,Ja'Marr Chase,Nico Collins,Rico Dowdle,Jakobi Meyers,Darren Waller,Jake Browning
151,30,114.52,danjpreciado,Jonathan Taylor,Jaylen Waddle,Jake Ferguson,Jakobi Meyers,Rico Dowdle,Geno Smith
151,30,114.52,patrickbarnesyoutube,Saquon Barkley,Justin Fields,Emeka Egbuka,Sam LaPorta,Rachaad White,Wan'Dale Robinson
153,30,114.48,thewood1105,Jonathan Taylor,Tetairoa McMillan,Emeka Egbuka,Daniel Jones,Tony Pollard,Darren Waller
153,30,114.48,goazcards,George Pickens,Nico Collins,Chuba Hubbard,Dak Prescott,Mason Taylor,Bucky Irving
153,30,114.48,tmoneyttime1,Javonte Williams,Garrett Wilson,Rico Dowdle,Jakobi Meyers,Jaxson Dart,Theo Johnson
156,30,114.44,urbanik,Jaxon Smith-Njigba,Chuba Hubbard,Quentin Johnston,Sam LaPorta,Kenneth Walker III,Sam Darnold
156,30,114.44,patrickbarnesyoutube,Jaxon Smith-Njigba,Javonte Williams,Sam LaPorta,Chuba Hubbard,Chris Olave,Sam Darnold
158,30,114.38,hdjdhdjdjsk,Ja'Marr Chase,Javonte Williams,Lamar Jackson,Zay Flowers,Wan'Dale Robinson,Theo Johnson
159,30,114.34,tubinis2121,Jaxon Smith-Njigba,Ja'Marr Chase,Sam LaPorta,Kenneth Walker III,Zay Flowers,Sam Darnold
160,30,114.32,noahpetro23,Ja'Marr Chase,Nico Collins,Sam LaPorta,Rachaad White,DeVonta Smith,Jared Goff
161,30,114.3,vindep,Breece Hall,Ja'Marr Chase,Rico Dowdle,Sam LaPorta,Kyler Murray,Cooper Kupp
162,30,114.28,mathology,Jonathan Taylor,Brock Bowers,Michael Pittman Jr.,Keenan Allen,Daniel Jones,Terry McLaurin
163,30,114.2,tubinis2121,Javonte Williams,Ja'Marr Chase,Jalen Hurts,Deebo Samuel,Dallas Goedert,Tony Pollard
164,30,114.18,schubes123376,Saquon Barkley,Jake Ferguson,Rico Dowdle,Chris Olave,Dak Prescott,Cooper Kupp
165,30,114.12,papazirk,Jaxon Smith-Njigba,Javonte Williams,Marvin Harrison,Sam LaPorta,Jared Goff,J.K. Dobbins
166,30,114.1,tubinis2121,Jonathan Taylor,Emeka Egbuka,Jalen Hurts,Michael Pittman Jr.,Dallas Goedert,J.K. Dobbins
167,30,114.02,topfantasyplays,Amon-Ra St. Brown,Rico Dowdle,Tony Pollard,Jared Goff,Darren Waller,Rashid Shaheed
168,30,113.98,tmoneyttime1,Derrick Henry,George Pickens,Michael Pittman Jr.,Jake Ferguson,Dak Prescott,Terry McLaurin
168,30,113.98,tmoneyttime1,Jaxon Smith-Njigba,Tyler Warren,Rachaad White,Rico Dowdle,Zay Flowers,Daniel Jones
170,30,113.94,bestballviper,De'Von Achane,Jaylen Waddle,Sam LaPorta,Courtland Sutton,Jacory Croskey-Merritt,Tua Tagovailoa
171,30,113.9,lenkeith,Jonathan Taylor,David Montgomery,Jake Ferguson,Keenan Allen,Dak Prescott,Tre Tucker
171,30,113.9,manaray31,Jonathan Taylor,David Montgomery,Jake Ferguson,Keenan Allen,Dak Prescott,Tre Tucker
171,30,113.9,danjpreciado,Jonathan Taylor,Jake Ferguson,David Montgomery,Dak Prescott,Keenan Allen,Tre Tucker
171,30,113.9,jettns,Saquon Barkley,David Montgomery,Jake Ferguson,Marvin Harrison,Dak Prescott,Rashid Shaheed
175,30,113.86,tmoneyttime1,Jaxon Smith-Njigba,Emeka Egbuka,Rico Dowdle,Chris Godwin,Baker Mayfield,Tommy Tremble
175,30,113.86,jtmckenzi,Jaxon Smith-Njigba,Ja'Marr Chase,Alvin Kamara,Rachaad White,Dallas Goedert,Baker Mayfield
177,30,113.82,jimmy403321,Jahmyr Gibbs,Emeka Egbuka,David Montgomery,Jalen Hurts,Sam LaPorta,DeVonta Smith
178,30,113.74,nez,Jaxon Smith-Njigba,Nico Collins,Rachaad White,Sam LaPorta,Sam Darnold,Tre Tucker
179,30,113.72,kcpolack,Amon-Ra St. Brown,Trey Benson,Jaylen Waddle,Jared Goff,Juwan Johnson,Jacory Croskey-Merritt
180,30,113.66,benrothlesberger,Jonathan Taylor,Emeka Egbuka,Jaylen Waddle,Kenneth Walker III,Zach Ertz,Baker Mayfield
181,30,113.64,lee121503,Jaxon Smith-Njigba,Tetairoa McMillan,Jaylen Waddle,Rachaad White,Darren Waller,Tua Tagovailoa
182,30,113.6,tubinis2121,Garrett Wilson,George Pickens,David Montgomery,Sam LaPorta,Dak Prescott,Rachaad White
183,30,113.58,bestballviper,George Pickens,Nico Collins,Sam LaPorta,Dak Prescott,J.K. Dobbins,Jacory Croskey-Merritt
184,30,113.48,tubinis2121,Derrick Henry,Ja'Marr Chase,Jaylen Waddle,Jake Ferguson,Rachaad White,Daniel Jones
185,30,113.42,denpro,Jaxon Smith-Njigba,Emeka Egbuka,Deebo Samuel,Tony Pollard,Jared Goff,Dallas Goedert
186,30,113.36,markzorner,De'Von Achane,Emeka Egbuka,Deebo Samuel,Dallas Goedert,Darren Waller,Baker Mayfield
187,30,113.28,goods,Javonte Williams,Ashton Jeanty,Deebo Samuel,Michael Pittman Jr.,Mason Taylor,Dak Prescott
188,30,113.16,nez,Saquon Barkley,Emeka Egbuka,Chuba Hubbard,Keenan Allen,Baker Mayfield,Mark Andrews
189,30,113.14,urbanik,Bucky Irving,Derrick Henry,Jaylen Waddle,Darren Waller,Courtland Sutton,Tua Tagovailoa
190,30,113.08,nez,Breece Hall,George Pickens,Deebo Samuel,Sam LaPorta,Rico Dowdle,Daniel Jones
191,30,113.06,manaray31,Amon-Ra St. Brown,Nico Collins,Rico Dowdle,Kenneth Walker III,Darren Waller,C.J. Stroud
192,30,112.94,ingelx,Saquon Barkley,Ja'Marr Chase,Rachaad White,Sam LaPorta,Tee Higgins,Jake Browning
192,30,112.94,schmoe330,Ashton Jeanty,Ja'Marr Chase,Chuba Hubbard,Sam LaPorta,Elic Ayomanor,Lamar Jackson
192,30,112.94,lee121503,De'Von Achane,Rico Dowdle,Jaylen Waddle,Chris Olave,Darren Waller,Tua Tagovailoa
195,30,112.88,cowboys282,Jaxon Smith-Njigba,Ashton Jeanty,Rico Dowdle,Michael Pittman Jr.,Daniel Jones,Darren Waller
195,30,112.88,lee121503,Jonathan Taylor,Jake Ferguson,Rachaad White,Dak Prescott,Chris Godwin,Cooper Kupp
197,30,112.84,urbanik,Jaxon Smith-Njigba,Ashton Jeanty,Jake Ferguson,Courtland Sutton,Tony Pollard,Sam Darnold
197,30,112.84,kuruc711,Jonathan Taylor,Rico Dowdle,Jaylen Waddle,Tre Tucker,Zach Ertz,Tua Tagovailoa
199,30,112.78,danjpreciado,Jonathan Taylor,Jaylen Waddle,Rico Dowdle,Michael Pittman Jr.,Daniel Jones,Juwan Johnson
199,30,112.78,tlaugen70,Jahmyr Gibbs,Emeka Egbuka,Jake Ferguson,Dak Prescott,Wan'Dale Robinson,J.K. Dobbins
199,30,112.78,mathology,Jahmyr Gibbs,David Montgomery,Emeka Egbuka,Chris Godwin,Baker Mayfield,AJ Barner
199,30,112.78,jeffern8,Jonathan Taylor,Jake Ferguson,Tetairoa McMillan,Dak Prescott,Chase Brown,DeVonta Smith
