place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
1,10000,137.14,fantasygrinder,Jaxon Smith-Njigba,Chuba Hubbard,Emeka Egbuka,Sam LaPorta,Cooper Kupp,Sam Darnold
2,10000,136.88,cgeeeeee,Jaxon Smith-Njigba,Emeka Egbuka,Jake Ferguson,David Montgomery,Rachaad White,Baker Mayfield
3,10000,134.88,chadcandles,Jonathan Taylor,Jake Ferguson,Jaylen Waddle,Jakobi Meyers,Dak Prescott,Rico Dowdle
4,1000,134.78,yuzenn,Jonathan Taylor,Jake Ferguson,Rico Dowdle,Dak Prescott,Wan'Dale Robinson,Rashid Shaheed
5,900,132.56,cognition10,Jonathan Taylor,Bucky Irving,Emeka Egbuka,Courtland Sutton,Baker Mayfield,Mark Andrews
6,800,132.26,comoestas,Jonathan Taylor,Emeka Egbuka,Rachaad White,Keenan Allen,Baker Mayfield,Theo Johnson
7,650,131.26,mosioatunya,Amon-Ra St. Brown,Ja'Marr Chase,Jake Ferguson,Rico Dowdle,Tony Pollard,Baker Mayfield
7,650,131.26,patrickbarnesyoutube,Jonathan Taylor,Emeka Egbuka,Ladd McConkey,Rachaad White,Baker Mayfield,Mason Taylor
9,500,131.16,gpngc,Jonathan Taylor,Emeka Egbuka,Rachaad White,DeVonta Smith,Baker Mayfield,Cade Otton
10,400,130.38,tubinis2121,De'Von Achane,Emeka Egbuka,Jake Ferguson,Chris Olave,Dak Prescott,Rico Dowdle
11,300,130.36,nez,Jaxon Smith-Njigba,Emeka Egbuka,Rachaad White,Tony Pollard,Baker Mayfield,Theo Johnson
12,300,129.94,goods,Jaxon Smith-Njigba,Ja'Marr Chase,Rachaad White,Sam LaPorta,Tony Pollard,Sam Darnold
13,300,129.44,d4ve,Jaxon Smith-Njigba,Javonte Williams,Ladd McConkey,Sam LaPorta,Rachaad White,Sam Darnold
13,300,129.44,d4ve,Jaxon Smith-Njigba,Javonte Williams,Jake Ferguson,Rachaad White,Tee Higgins,Sam Darnold
15,300,129.28,fflinx,Jonathan Taylor,Emeka Egbuka,Jake Ferguson,Dak Prescott,Chris Olave,Tony Pollard
16,200,129.06,noahwhit47,Jaxon Smith-Njigba,Nico Collins,Rachaad White,Rico Dowdle,Baker Mayfield,Mason Taylor
17,200,128.56,housealwayswins,Jaxon Smith-Njigba,Emeka Egbuka,Chuba Hubbard,Jaylen Waddle,Baker Mayfield,Zach Ertz
18,200,128.48,kennythejet,Jonathan Taylor,Emeka Egbuka,Jake Ferguson,Dak Prescott,Bucky Irving,Troy Franklin
19,200,127.34,gpngc,Javonte Williams,Nico Collins,Rico Dowdle,Sam LaPorta,Sam Darnold,Tee Higgins
20,200,126.96,cgeeeeee,Jonathan Taylor,Emeka Egbuka,Jaylen Waddle,Chris Godwin,Baker Mayfield,Theo Johnson
21,100,126.56,kobegoat2424,Bucky Irving,Ja'Marr Chase,Lamar Jackson,Marvin Harrison,J.K. Dobbins,Darren Waller
21,100,126.56,shagnastyball17,Amon-Ra St. Brown,George Pickens,Chuba Hubbard,Lamar Jackson,Darren Waller,Jacory Croskey-Merritt
23,100,126.48,goods,Jonathan Taylor,Jaylen Waddle,Jake Ferguson,Dak Prescott,Chase Brown,Rashid Shaheed
24,100,126.44,tbrook3434,Saquon Barkley,Emeka Egbuka,Ladd McConkey,Rico Dowdle,Darren Waller,Tua Tagovailoa
25,100,126.32,tubinis2121,Jaxon Smith-Njigba,Ja'Marr Chase,David Montgomery,Chuba Hubbard,Mason Taylor,Kyler Murray
26,50,125.94,cgeeeeee,Amon-Ra St. Brown,Ja'Marr Chase,Deebo Samuel,Jayden Daniels,Bucky Irving,Theo Johnson
27,50,125.58,mathology,Jonathan Taylor,Emeka Egbuka,David Montgomery,Courtland Sutton,Dallas Goedert,Baker Mayfield
28,50,125.54,jbaconator,Jaxon Smith-Njigba,Ja'Marr Chase,Rachaad White,Sam LaPorta,Sam Darnold,Cooper Kupp
29,50,125.44,mathology,Jonathan Taylor,Tetairoa McMillan,Jaylen Waddle,Bucky Irving,Darren Waller,Tua Tagovailoa
30,50,124.96,manaray31,Jonathan Taylor,Jaylen Waddle,Rico Dowdle,Chris Godwin,Mason Taylor,Baker Mayfield
31,50,124.88,manaray31,Jahmyr Gibbs,Emeka Egbuka,Jake Ferguson,Tony Pollard,Dak Prescott,Rashid Shaheed
32,50,124.8,drj903,Jonathan Taylor,Emeka Egbuka,David Montgomery,Dak Prescott,Michael Pittman Jr.,Dalton Schultz
33,50,124.78,craigg503,Cam Skattebo,Ja'Marr Chase,Jake Ferguson,Rico Dowdle,Daniel Jones,Rashid Shaheed
34,50,124.72,patrickbarnesyoutube,Breece Hall,Ja'Marr Chase,Jake Ferguson,Marvin Harrison,Rico Dowdle,Jared Goff
35,50,124.64,tubinis2121,Jaxon Smith-Njigba,Ja'Marr Chase,Tyler Warren,Tony Pollard,Rachaad White,Sam Darnold
36,50,124.52,mane,Jonathan Taylor,Justin Fields,Emeka Egbuka,Sam LaPorta,Tony Pollard,Tee Higgins
37,50,124.38,vindep,Jaxon Smith-Njigba,Ja'Marr Chase,Rico Dowdle,Tony Pollard,Juwan Johnson,Dak Prescott
38,50,124.24,bwells,Garrett Wilson,Javonte Williams,Rico Dowdle,Marvin Harrison,Darren Waller,Tua Tagovailoa
39,50,124.1,patkline07,Jonathan Taylor,David Montgomery,Jaylen Waddle,Dak Prescott,Tee Higgins,Theo Johnson
40,50,124.04,jtmckenzi,Jonathan Taylor,Jaylen Waddle,Jake Ferguson,Rachaad White,Zay Flowers,Lamar Jackson
41,50,123.76,krutches93,Jonathan Taylor,Rico Dowdle,Emeka Egbuka,Zach Ertz,Keenan Allen,Baker Mayfield
42,50,123.74,tronbombz,Jonathan Taylor,Jayden Daniels,Deebo Samuel,Tee Higgins,Rico Dowdle,Darren Waller
43,50,123.68,danjpreciado,Saquon Barkley,Ja'Marr Chase,Jake Ferguson,Dak Prescott,Tony Pollard,Rashid Shaheed
44,50,123.6,keola25,Jonathan Taylor,Jake Ferguson,Ladd McConkey,Kyler Murray,Rashid Shaheed,Jacory Croskey-Merritt
45,50,123.42,chadcandles,Cam Skattebo,Justin Fields,Jake Ferguson,Rico Dowdle,Rashid Shaheed,DeVonta Smith
46,50,122.78,tubinis2121,Jaxon Smith-Njigba,Ja'Marr Chase,Trey Benson,Sam LaPorta,Chase Brown,Daniel Jones
