place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
1,10000,115.22,sportsandhype,Puka Nacua,Brock Bowers,Emeka Egbuka,Garrett Wilson,Justin Fields,Jacory Croskey-Merritt
2,10000,113.78,ingelx,Bijan Robinson,Puka Nacua,Chuba Hubbard,Tyler Warren,Michael Pittman Jr.,Daniel Jones
3,10000,110.32,danjpreciado,Bijan Robinson,James Conner,George Kittle,Jaxon Smith-Njigba,Emeka Egbuka,Justin Fields
4,1000,109.48,jtmckenzi,Bijan Robinson,Puka Nacua,Chuba Hubbard,Emeka Egbuka,Baker Mayfield,Kyle Pitts
5,900,107.92,leagueofitems,Bijan Robinson,James Conner,Emeka Egbuka,Deebo Samuel,Kyle Pitts,Michael Penix
6,800,105.72,markzorner,Jonathan Taylor,Puka Nacua,Chuba Hubbard,Tyler Warren,Garrett Wilson,Justin Fields
7,650,104.72,drapp,Chase Brown,Puka Nacua,Courtland Sutton,Sam LaPorta,Garrett Wilson,Justin Fields
7,650,104.72,danjpreciado,Chase Brown,Brock Bowers,Chuba Hubbard,Jaxon Smith-Njigba,Garrett Wilson,Justin Fields
9,500,103.98,danjpreciado,De'Von Achane,Brock Bowers,TreVeyon Henderson,Emeka Egbuka,Daniel Jones,Michael Pittman Jr.
10,400,103.62,lee121503,Christian McCaffrey,Puka Nacua,Tony Pollard,Sam LaPorta,Garrett Wilson,Justin Fields
11,300,102.98,chris,Christian McCaffrey,Alvin Kamara,Jerry Jeudy,Emeka Egbuka,Tyler Warren,Daniel Jones
12,300,102.92,kd1114,Bijan Robinson,Alvin Kamara,Travis Hunter,Emeka Egbuka,Tyler Warren,Justin Fields
13,300,102.88,nez,Brock Bowers,Josh Jacobs,Jaxon Smith-Njigba,Courtland Sutton,Travis Etienne Jr.,Daniel Jones
14,300,102.82,drapp,Chase Brown,Puka Nacua,Courtland Sutton,Sam LaPorta,Justin Fields,Travis Etienne Jr.
15,250,102.58,gpngc,De'Von Achane,Alvin Kamara,Jaxon Smith-Njigba,Tyler Warren,Deebo Samuel,Daniel Jones
15,250,102.58,fflinx,Bucky Irving,Alvin Kamara,Emeka Egbuka,Jaxon Smith-Njigba,Tyler Warren,Daniel Jones
17,200,102.42,thegrownsimba,De'Von Achane,Puka Nacua,David Njoku,Marvin Harrison,Garrett Wilson,Justin Fields
18,200,102.32,jewishmccaffrey,Bucky Irving,George Kittle,Courtland Sutton,Marvin Harrison,Deebo Samuel,Justin Fields
19,200,102.28,benrothlesberger,De'Von Achane,Puka Nacua,Kyren Williams,Jaxon Smith-Njigba,Tyler Warren,Daniel Jones
20,200,101.92,nf42,Chase Brown,Brock Bowers,Kyren Williams,Courtland Sutton,Garrett Wilson,Justin Fields
21,100,101.82,gforgumby,Bijan Robinson,Mike Evans,Kyren Williams,Sam LaPorta,Justin Fields,Garrett Wilson
22,100,101.62,carsfrucht,Josh Jacobs,Trey McBride,Jaxon Smith-Njigba,Marvin Harrison,Justin Fields,Garrett Wilson
23,100,101.52,nez,Christian McCaffrey,Drake London,Kyren Williams,Tyler Warren,Garrett Wilson,Justin Fields
24,100,101.38,berettajames,Bijan Robinson,Ashton Jeanty,Amon-Ra St. Brown,Emeka Egbuka,Tyler Warren,Daniel Jones
25,75,101.18,jetleigh,Bijan Robinson,Puka Nacua,Kyren Williams,Emeka Egbuka,Brock Purdy,Brenton Strange
25,75,101.18,fflinx,Bijan Robinson,George Kittle,Chuba Hubbard,Courtland Sutton,Brock Purdy,Garrett Wilson
27,50,100.82,chadcandles,De'Von Achane,Ashton Jeanty,Jaxon Smith-Njigba,Tyler Warren,Garrett Wilson,Justin Fields
28,50,100.68,awe419,Bucky Irving,Trey McBride,Courtland Sutton,Emeka Egbuka,Jaylen Warren,Daniel Jones
29,50,100.52,chadcandles,De'Von Achane,Trey McBride,Jaxon Smith-Njigba,Deebo Samuel,Jaylen Warren,Justin Fields
30,50,100.08,purplefrog,Christian McCaffrey,Amon-Ra St. Brown,Jaxon Smith-Njigba,Tyler Warren,Deebo Samuel,Daniel Jones
30,50,100.08,gabrainos,Brian Thomas,Brock Bowers,Baker Mayfield,Emeka Egbuka,Breece Hall,Deebo Samuel
32,50,99.92,benrothlesberger,Christian McCaffrey,Malik Nabers,Chuba Hubbard,Marvin Harrison,Justin Fields,Zach Ertz
32,50,99.92,krutches93,De'Von Achane,Puka Nacua,Tony Pollard,Sam LaPorta,Garrett Wilson,Justin Fields
34,50,99.52,huffy09,Ashton Jeanty,Josh Jacobs,Courtland Sutton,Tyler Warren,Garrett Wilson,Justin Fields
34,50,99.52,derektreybig,Bijan Robinson,Brock Bowers,Kenneth Walker III,Deebo Samuel,Ricky Pearsall,Justin Fields
36,50,99.22,tgill1790,Christian McCaffrey,George Kittle,Chuba Hubbard,Emeka Egbuka,Kyler Murray,Jakobi Meyers
36,50,99.22,derektreybig,Christian McCaffrey,Mike Evans,Kyren Williams,Sam LaPorta,Deebo Samuel,Justin Fields
38,50,99.12,bradc,Chase Brown,Puka Nacua,Jaxon Smith-Njigba,Marvin Harrison,Justin Fields,Tucker Kraft
39,50,98.98,in3us,Chase Brown,Puka Nacua,Courtland Sutton,Marvin Harrison,Hunter Henry,Daniel Jones
39,50,98.98,mj224,Bijan Robinson,Puka Nacua,Brock Purdy,Emeka Egbuka,Breece Hall,Evan Engram
41,50,98.92,bestballviper,Christian McCaffrey,Ashton Jeanty,Tetairoa McMillan,Garrett Wilson,Tyler Warren,Justin Fields
42,50,98.82,krutches93,De'Von Achane,Brock Bowers,Tony Pollard,Courtland Sutton,Garrett Wilson,Justin Fields
43,50,98.32,jtmckenzi,Bijan Robinson,Alvin Kamara,Tee Higgins,Sam LaPorta,Garrett Wilson,Justin Fields
44,50,98.18,gforgumby,Jahmyr Gibbs,Kyren Williams,Jaxon Smith-Njigba,Garrett Wilson,Tyler Warren,Daniel Jones
