place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
574,25,101.6,fuentasy,Lamar Jackson,Jaxon Smith-Njigba,Javonte Williams,Davante Adams,Juwan Johnson,Michael Pittman Jr.
578,25,101.56,markzorner,Jahmyr Gibbs,Kyren Williams,DK Metcalf,Jared Goff,Jameson Williams,Juwan Johnson
579,25,101.54,berettajames,Puka Nacua,Jonathan Taylor,Marvin Harrison,Tyler Warren,Tetairoa McMillan,Daniel Jones
579,25,101.54,souperdg,CeeDee Lamb,James Cook,Zay Flowers,Tetairoa McMillan,Dak Prescott,Jake Ferguson
579,25,101.54,griff384,Ja'Marr Chase,Travis Etienne Jr.,Alvin Kamara,George Pickens,Dak Prescott,Jonnu Smith
582,25,101.5,vindep,Lamar Jackson,Malik Nabers,Zay Flowers,Travis Kelce,Jaylen Warren,Tyrone Tracy
582,25,101.5,gpngc,De'Von Achane,Malik Nabers,Sam LaPorta,Jaylen Waddle,Tua Tagovailoa,Tyrone Tracy
582,25,101.5,vindep,Lamar Jackson,Malik Nabers,Travis Kelce,Zay Flowers,Jaylen Warren,Tyrone Tracy
585,25,101.48,chris,Puka Nacua,Brian Thomas,Travis Kelce,Javonte Williams,Jameson Williams,Patrick Mahomes
586,25,101.44,d4ve,Puka Nacua,James Conner,George Pickens,Tyler Warren,Jameson Williams,Dak Prescott
587,25,101.4,lee121503,Lamar Jackson,Jonathan Taylor,Zay Flowers,George Pickens,David Montgomery,Harold Fannin
587,25,101.4,krutches93,Jonathan Taylor,Lamar Jackson,Javonte Williams,Zay Flowers,Ricky Pearsall,David Njoku
589,25,101.34,nez,CeeDee Lamb,Jaxon Smith-Njigba,Tyreek Hill,Javonte Williams,Dak Prescott,Jake Ferguson
590,25,101.3,mikec6212,CeeDee Lamb,James Cook,Chuba Hubbard,Tyreek Hill,Drake Maye,Brenton Strange
590,25,101.3,danjpreciado,De'Von Achane,Lamar Jackson,Zay Flowers,Javonte Williams,Jerry Jeudy,Jake Ferguson
590,25,101.3,qbtheking22,Lamar Jackson,Jonathan Taylor,Zay Flowers,Javonte Williams,D.J. Moore,David Njoku
590,25,101.3,vindep,De'Von Achane,Malik Nabers,Zay Flowers,Sam LaPorta,Kyler Murray,Jaylen Warren
594,25,101.28,omg,CeeDee Lamb,De'Von Achane,Alvin Kamara,Sam LaPorta,Rome Odunze,Caleb Williams
595,25,101.26,babyjay248,Ja'Marr Chase,Jaxon Smith-Njigba,Garrett Wilson,Sam LaPorta,D'Andre Swift,Jared Goff
595,25,101.26,danjpreciado,De'Von Achane,Kyren Williams,Marvin Harrison,Sam LaPorta,Rome Odunze,Jared Goff
595,25,101.26,jonboybeats,Puka Nacua,James Conner,Sam LaPorta,George Pickens,Jared Goff,David Montgomery
595,25,101.26,bound33,De'Von Achane,Malik Nabers,Garrett Wilson,Tyler Warren,Ricky Pearsall,Mac Jones
599,25,101.24,a74wilson,Saquon Barkley,James Cook,Garrett Wilson,George Pickens,Dak Prescott,Juwan Johnson
599,25,101.24,d4ve,Chase Brown,Amon-Ra St. Brown,George Pickens,Ricky Pearsall,Dak Prescott,Juwan Johnson
599,25,101.24,copperprices,Ja'Marr Chase,Chuba Hubbard,Alvin Kamara,Davante Adams,Bo Nix,Evan Engram
602,25,101.2,chadcandles,Lamar Jackson,Amon-Ra St. Brown,Alvin Kamara,Tyreek Hill,D'Andre Swift,Mark Andrews
603,25,101.18,spartan,Ja'Marr Chase,James Conner,Travis Etienne Jr.,Davante Adams,Hunter Henry,Patrick Mahomes
603,25,101.18,krutches93,Jahmyr Gibbs,Malik Nabers,Tony Pollard,Hollywood Brown,Patrick Mahomes,Jake Ferguson
603,25,101.18,vindep,Chase Brown,Malik Nabers,Tyreek Hill,Travis Kelce,Patrick Mahomes,Jaylen Warren
606,25,101.14,bickcocko,De'Von Achane,Malik Nabers,Courtland Sutton,Javonte Williams,Bo Nix,Hunter Henry
607,25,101.12,fullyloaded,Josh Allen,Malik Nabers,Tony Pollard,Davante Adams,J.K. Dobbins,Jake Ferguson
608,25,101.1,gforgumby,Chase Brown,Malik Nabers,Courtland Sutton,Javonte Williams,David Njoku,Russell Wilson
608,25,101.1,ez116,Saquon Barkley,Malik Nabers,Tony Pollard,Marvin Harrison,Drake Maye,Jake Ferguson
610,25,101.08,awe419,Saquon Barkley,Amon-Ra St. Brown,Alvin Kamara,Tetairoa McMillan,Patrick Mahomes,Mark Andrews
610,25,101.08,awe419,De'Von Achane,Malik Nabers,Chuba Hubbard,Hollywood Brown,Patrick Mahomes,Mark Andrews
612,25,101.06,fitzdraftmagic,Jahmyr Gibbs,Jaxon Smith-Njigba,Tyler Warren,Jameson Williams,Calvin Ridley,Jared Goff
613,25,101.04,twelvefluidounces,CeeDee Lamb,Alvin Kamara,Chuba Hubbard,Davante Adams,Dak Prescott,Dallas Goedert
614,25,101,bustersboys,Saquon Barkley,Amon-Ra St. Brown,Travis Etienne Jr.,Tetairoa McMillan,Kyler Murray,David Njoku
614,25,101,fatjaffe,Lamar Jackson,Jonathan Taylor,Zay Flowers,Sam LaPorta,Jaylen Waddle,Jaylen Warren
614,25,101,manaray31,Lamar Jackson,Jonathan Taylor,Chuba Hubbard,DK Metcalf,Jerry Jeudy,Juwan Johnson
617,25,100.9,ez116,Jahmyr Gibbs,Malik Nabers,Chuba Hubbard,Tyreek Hill,Kyler Murray,Jonnu Smith
617,25,100.9,copperprices,Jahmyr Gibbs,Travis Etienne Jr.,Tyreek Hill,Davante Adams,Drake Maye,Harold Fannin
619,25,100.88,krutches93,Trey McBride,Jonathan Taylor,Travis Kelce,Ricky Pearsall,Rome Odunze,Caleb Williams
620,25,100.84,carpark03,CeeDee Lamb,Amon-Ra St. Brown,Alvin Kamara,Dak Prescott,David Montgomery,Evan Engram
620,25,100.84,mathology,Ja'Marr Chase,James Cook,Joe Burrow,Davante Adams,Jameson Williams,Mark Andrews
620,25,100.84,manaray31,Saquon Barkley,Malik Nabers,George Pickens,Zay Flowers,Dak Prescott,Hunter Henry
623,25,100.8,bigtruckin,Lamar Jackson,Amon-Ra St. Brown,Tee Higgins,Zay Flowers,Mark Andrews,Bhayshul Tuten
623,25,100.8,tonysprocket,De'Von Achane,Lamar Jackson,Chuba Hubbard,Sam LaPorta,Rome Odunze,Travis Hunter
625,25,100.78,fatjaffe,Christian McCaffrey,Tee Higgins,Amon-Ra St. Brown,Hollywood Brown,Patrick Mahomes,Jonnu Smith
626,25,100.74,oldguy63,CeeDee Lamb,James Cook,Tee Higgins,Davante Adams,Dak Prescott,Brenton Strange
627,25,100.72,samolson31,Josh Allen,Malik Nabers,Davante Adams,Travis Kelce,Jaylen Warren,David Montgomery
627,25,100.72,lee121503,Josh Allen,Jonathan Taylor,Tetairoa McMillan,Sam LaPorta,Rome Odunze,J.K. Dobbins
629,25,100.7,danpero33,Saquon Barkley,Malik Nabers,DK Metcalf,Tyreek Hill,Drake Maye,Hunter Henry
629,25,100.7,crblake2,Christian McCaffrey,James Cook,Jaxon Smith-Njigba,Hunter Henry,Drake Maye,Tetairoa McMillan
629,25,100.7,krutches93,Trey McBride,Malik Nabers,Javonte Williams,Kyler Murray,David Montgomery,Jerry Jeudy
632,25,100.66,ahodaniel,Jahmyr Gibbs,Amon-Ra St. Brown,DK Metcalf,Jared Goff,Travis Hunter,Mark Andrews
632,25,100.66,djrj21,Chase Brown,Kyren Williams,Sam LaPorta,Jameson Williams,Rome Odunze,Jared Goff
632,25,100.66,sonofkong,Ja'Marr Chase,James Cook,Alvin Kamara,Ricky Pearsall,Brenton Strange,Mac Jones
635,25,100.62,ckni65,Josh Allen,Malik Nabers,Travis Etienne Jr.,Sam LaPorta,DeVonta Smith,Rome Odunze
636,25,100.6,lineofscrimmage,Lamar Jackson,James Cook,Chuba Hubbard,Zay Flowers,DeVonta Smith,Juwan Johnson
637,25,100.58,kcpolack,Christian McCaffrey,Jaxon Smith-Njigba,Alvin Kamara,Harold Fannin,Caleb Williams,Rome Odunze
638,25,100.56,chris,CeeDee Lamb,Amon-Ra St. Brown,A.J. Brown,TreVeyon Henderson,David Njoku,Jared Goff
638,25,100.56,dmlarson,Chase Brown,Amon-Ra St. Brown,Chuba Hubbard,Sam LaPorta,Keon Coleman,Jared Goff
640,25,100.54,onecurt6,CeeDee Lamb,Trey McBride,Tyreek Hill,Javonte Williams,J.K. Dobbins,Dak Prescott
641,25,100.5,vindep,Lamar Jackson,Malik Nabers,Tyler Warren,Zay Flowers,Tyrone Tracy,David Montgomery
641,25,100.5,dmlarson,Saquon Barkley,James Cook,Sam LaPorta,Davante Adams,Drake Maye,Kayshon Boutte
643,25,100.48,jtmckenzi,Puka Nacua,Amon-Ra St. Brown,Alvin Kamara,Sam LaPorta,D.J. Moore,Caleb Williams
643,25,100.48,maxp5856,Christian McCaffrey,Travis Etienne Jr.,A.J. Brown,Rome Odunze,Caleb Williams,Juwan Johnson
645,25,100.44,komtiely,Ja'Marr Chase,Joe Burrow,Travis Etienne Jr.,Juwan Johnson,Davante Adams,J.K. Dobbins
645,25,100.44,jameso714,Trey McBride,Malik Nabers,TreVeyon Henderson,Tetairoa McMillan,Jaylen Waddle,Dak Prescott
645,25,100.44,mikec6212,CeeDee Lamb,Breece Hall,Chuba Hubbard,Dak Prescott,Rome Odunze,Jake Ferguson
645,25,100.44,fitzdraftmagic,Jonathan Taylor,Puka Nacua,Ricky Pearsall,Tyler Warren,Chris Olave,Daniel Jones
645,25,100.44,ingelx,Ja'Marr Chase,Jaxon Smith-Njigba,Travis Etienne Jr.,Jameson Williams,Bo Nix,Evan Engram
650,25,100.4,goatnapped,Chase Brown,Malik Nabers,Sam LaPorta,Tyreek Hill,Jaylen Warren,Drake Maye
650,25,100.4,sjackson15,Ja'Marr Chase,James Cook,Tyreek Hill,Sam LaPorta,DeVonta Smith,Tua Tagovailoa
650,25,100.4,chris,Lamar Jackson,Malik Nabers,Travis Kelce,Javonte Williams,Jerry Jeudy,Travis Hunter
653,25,100.38,topes1,CeeDee Lamb,James Cook,Tony Pollard,Brenton Strange,Rome Odunze,Caleb Williams
654,25,100.3,davismattek,Puka Nacua,James Conner,Garrett Wilson,Kenneth Walker III,Drake Maye,Juwan Johnson
654,25,100.3,drapp,Christian McCaffrey,Jaxon Smith-Njigba,James Cook,Tetairoa McMillan,Kyler Murray,Jake Ferguson
656,25,100.28,johann98890,Trey McBride,Malik Nabers,Tony Pollard,Javonte Williams,D.J. Moore,Caleb Williams
657,25,100.26,rbabs24,Jahmyr Gibbs,Amon-Ra St. Brown,A.J. Brown,D.J. Moore,Hunter Henry,Jared Goff
658,25,100.24,bustersboys,CeeDee Lamb,Malik Nabers,Tony Pollard,Tetairoa McMillan,Dak Prescott,David Njoku
659,25,100.2,mathology,Ja'Marr Chase,Jaxon Smith-Njigba,Chuba Hubbard,Kyler Murray,Javonte Williams,Brenton Strange
660,25,100.14,lee121503,Ja'Marr Chase,James Cook,Chuba Hubbard,Hollywood Brown,Bo Nix,Evan Engram
660,25,100.14,krutches93,CeeDee Lamb,Tony Pollard,Amon-Ra St. Brown,Zay Flowers,David Njoku,Dak Prescott
660,25,100.14,phsmith8,Saquon Barkley,James Cook,Jaxon Smith-Njigba,Ricky Pearsall,Juwan Johnson,Daniel Jones
663,25,100.12,schubes123376,Puka Nacua,Jonathan Taylor,Tony Pollard,Davante Adams,Mark Andrews,Matthew Stafford
664,25,100.06,drapp,Saquon Barkley,Malik Nabers,A.J. Brown,Sam LaPorta,Calvin Ridley,Jared Goff
665,25,100.04,ingelx,Puka Nacua,Malik Nabers,Tony Pollard,Tyler Warren,Bo Nix,RJ Harvey
665,25,100.04,jewishmccaffrey,Jahmyr Gibbs,Jaxon Smith-Njigba,James Cook,Ricky Pearsall,Bo Nix,Juwan Johnson
667,25,100.02,starrs,Puka Nacua,James Cook,A.J. Brown,Davante Adams,Harold Fannin,Matthew Stafford
668,25,100,goathopgrower,Christian McCaffrey,Travis Etienne Jr.,Jaxon Smith-Njigba,Drake Maye,Jameson Williams,David Njoku
669,25,99.98,berettajames,Saquon Barkley,Malik Nabers,Garrett Wilson,Tetairoa McMillan,Patrick Mahomes,Harold Fannin
669,25,99.98,lee121503,Ja'Marr Chase,Travis Etienne Jr.,Tee Higgins,TreVeyon Henderson,Patrick Mahomes,Juwan Johnson
671,25,99.94,jettns,CeeDee Lamb,Amon-Ra St. Brown,Garrett Wilson,Dak Prescott,Jake Ferguson,Tyrone Tracy
671,25,99.94,carpark03,Puka Nacua,Malik Nabers,Alvin Kamara,Ricky Pearsall,Bo Nix,Evan Engram
673,25,99.9,krutches93,Trey McBride,Malik Nabers,Alvin Kamara,Kyler Murray,David Montgomery,Jaylen Waddle
674,25,99.84,cgeeeeee,Ja'Marr Chase,Travis Etienne Jr.,Chuba Hubbard,Tyler Warren,Bo Nix,D.J. Moore
674,25,99.84,cavaleman,Jahmyr Gibbs,James Cook,A.J. Brown,George Pickens,Dak Prescott,Jake Ferguson
674,25,99.84,awolff225,Jahmyr Gibbs,James Cook,A.J. Brown,George Pickens,Dak Prescott,Jake Ferguson
677,25,99.8,jorland50,Jonathan Taylor,Malik Nabers,Marvin Harrison,Kyler Murray,D.J. Moore,Jake Ferguson
677,25,99.8,berettajames,Trey McBride,Malik Nabers,Courtland Sutton,Tetairoa McMillan,Drake Maye,Jaylen Warren
677,25,99.8,jewishmccaffrey,Lamar Jackson,Malik Nabers,Zay Flowers,Sam LaPorta,Dylan Sampson,Jaylen Warren
677,25,99.8,manaray31,Ja'Marr Chase,Jaxon Smith-Njigba,Travis Etienne Jr.,D'Andre Swift,Hunter Henry,Drake Maye
681,25,99.76,dreamingofsundays,Christian McCaffrey,Travis Etienne Jr.,Tee Higgins,Tetairoa McMillan,Sam LaPorta,Jared Goff
682,25,99.74,rhcpfleadom,CeeDee Lamb,Amon-Ra St. Brown,Tony Pollard,Tyler Warren,D.J. Moore,Dak Prescott
683,25,99.7,manaray31,Derrick Henry,Amon-Ra St. Brown,Travis Etienne Jr.,D.J. Moore,Drake Maye,Juwan Johnson
683,25,99.7,jtmckenzi,De'Von Achane,Jonathan Taylor,DK Metcalf,Tyreek Hill,David Njoku,Tua Tagovailoa
685,25,99.68,asaptuna,Saquon Barkley,Malik Nabers,Tony Pollard,Hollywood Brown,Patrick Mahomes,Jake Ferguson
685,25,99.68,ingelx,Christian McCaffrey,Travis Etienne Jr.,Rome Odunze,Jameson Williams,Colston Loveland,Caleb Williams
687,25,99.66,burdseyeview,Jahmyr Gibbs,Jaxon Smith-Njigba,Alvin Kamara,Davante Adams,Jared Goff,Mark Andrews
688,25,99.64,bestballviper,De'Von Achane,Jonathan Taylor,Tyreek Hill,Sam LaPorta,Josh Downs,Daniel Jones
689,25,99.62,gforgumby,De'Von Achane,Josh Allen,Javonte Williams,Travis Kelce,Calvin Ridley,Rome Odunze
690,25,99.6,zahzz,Saquon Barkley,Malik Nabers,TreVeyon Henderson,Jameson Williams,Drake Maye,Mark Andrews
690,25,99.6,drapp,Saquon Barkley,Amon-Ra St. Brown,Tony Pollard,Davante Adams,Kyler Murray,Jonnu Smith
