place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
61,35,107.54,justforfunzo,Christian McCaffrey,Jalen Hurts,Kyren Williams,Garrett Wilson,Kyle Pitts,DeVonta Smith
62,35,107.52,wutangkillabees,Bijan Robinson,Davante Adams,A.J. Brown,Drake Maye,Hunter Henry,Ricky Pearsall
62,35,107.52,patrickbarnesyoutube,Jonathan Taylor,Rome Odunze,Alvin Kamara,Caleb Williams,Jauan Jennings,David Njoku
62,35,107.52,burtbra3,Jonathan Taylor,Rome Odunze,George Pickens,Caleb Williams,Travis Etienne Jr.,David Njoku
65,35,107.44,phillyeth,Jonathan Taylor,Jalen Hurts,A.J. Brown,Jaylen Warren,Kyle Pitts,Chris Olave
65,35,107.44,hotsizauce,Jonathan Taylor,Jalen Hurts,Drake London,Juwan Johnson,Garrett Wilson,Travis Etienne Jr.
67,35,107.36,fflinx,Jonathan Taylor,Tyler Warren,Kenneth Walker III,Garrett Wilson,Jakobi Meyers,Geno Smith
68,35,107.34,nailsou,Jordan Mason,Jalen Hurts,Tony Pollard,A.J. Brown,DeVonta Smith,Kyle Pitts
69,35,107.24,twelvefluidounces,Jonathan Taylor,Jalen Hurts,Kyren Williams,Calvin Ridley,Dallas Goedert,Ricky Pearsall
70,35,107.14,samolson31,Christian McCaffrey,Jalen Hurts,Brian Thomas,Keenan Allen,Travis Etienne Jr.,Hunter Henry
71,35,107.12,jawshwahhh,Josh Jacobs,Jordan Mason,A.J. Brown,Courtland Sutton,Caleb Williams,Jonnu Smith
71,35,107.12,manaray31,Jonathan Taylor,Rome Odunze,George Pickens,Juwan Johnson,Caleb Williams,Jacory Croskey-Merritt
71,35,107.12,crblake2,Puka Nacua,Nico Collins,Ashton Jeanty,A.J. Brown,Drake Maye,Hunter Henry
74,35,107.02,berber,Jaxon Smith-Njigba,Trey McBride,A.J. Brown,Kyren Williams,Terry McLaurin,Caleb Williams
74,35,107.02,bustersboys,Jaxon Smith-Njigba,Nico Collins,Alvin Kamara,Caleb Williams,T.J. Hockenson,Omarion Hampton
76,35,106.82,nez,Nico Collins,Javonte Williams,Kenneth Walker III,Keenan Allen,Drake Maye,Hunter Henry
77,35,106.64,patrickbarnesyoutube,Christian McCaffrey,Jalen Hurts,George Pickens,Kyren Williams,DeVonta Smith,Chig Okonkwo
78,35,106.54,markey95,Justin Jefferson,Jalen Hurts,A.J. Brown,Kyren Williams,T.J. Hockenson,DeVonta Smith
79,35,106.52,topstatnft,Puka Nacua,Javonte Williams,Omarion Hampton,Garrett Wilson,Caleb Williams,Chig Okonkwo
80,35,106.34,ez116,Jonathan Taylor,Jalen Hurts,Alvin Kamara,DK Metcalf,Garrett Wilson,Dallas Goedert
81,35,106.32,dmh09,Jonathan Taylor,Rome Odunze,Chase Brown,Calvin Ridley,Caleb Williams,Hunter Henry
82,35,106.24,cavaleman,Ja'Marr Chase,Jalen Hurts,Kyren Williams,Jake Ferguson,DeVonta Smith,Omarion Hampton
83,35,106.22,craigg503,Nico Collins,Jordan Mason,Juwan Johnson,A.J. Brown,Drake Maye,Keenan Allen
84,35,105.94,manaray31,Christian McCaffrey,Kenneth Walker III,Jalen Hurts,Juwan Johnson,DeVonta Smith,Michael Pittman Jr.
85,35,105.74,mikec6212,Josh Jacobs,Jalen Hurts,Kenneth Walker III,A.J. Brown,T.J. Hockenson,Keenan Allen
86,35,105.72,futurestate,Jonathan Taylor,Javonte Williams,D.J. Moore,Caleb Williams,Harold Fannin,Courtland Sutton
86,35,105.72,fantasyfootballisfun,Jonathan Taylor,Davante Adams,Kenneth Walker III,DK Metcalf,Caleb Williams,Harold Fannin
88,35,105.54,d4ve,Jonathan Taylor,Jordan Mason,George Pickens,Dak Prescott,Zach Ertz,DeVonta Smith
89,35,105.42,jonboybeats,Jonathan Taylor,Davante Adams,Brian Thomas,D'Andre Swift,Drake Maye,Hunter Henry
90,35,105.34,leominichillo,Jonathan Taylor,Jalen Hurts,Brian Thomas,Garrett Wilson,D'Andre Swift,Dallas Goedert
91,35,105.32,fflinx,Jonathan Taylor,Rome Odunze,Brian Thomas,Zach Ertz,Caleb Williams,Garrett Wilson
91,35,105.32,brian2ez,Nico Collins,Trey McBride,Kyren Williams,D.J. Moore,Caleb Williams,Keenan Allen
93,35,105.24,cavaleman,Ja'Marr Chase,Jalen Hurts,A.J. Brown,Kyren Williams,Dallas Goedert,Omarion Hampton
94,35,105.14,jtmckenzi,Jonathan Taylor,Jalen Hurts,Mike Evans,Travis Etienne Jr.,Kyle Pitts,DeVonta Smith
95,35,105.12,berettajames,Justin Jefferson,Nico Collins,A.J. Brown,Travis Etienne Jr.,Hunter Henry,Drake Maye
96,35,105.02,noahwhit47,Puka Nacua,Javonte Williams,Tony Pollard,A.J. Brown,Drake Maye,Hunter Henry
97,35,104.94,ctubbs27,Saquon Barkley,Jalen Hurts,Jordan Mason,Jake Ferguson,Garrett Wilson,Chris Olave
98,35,104.82,berettajames,Nico Collins,Jordan Mason,Tucker Kraft,A.J. Brown,Courtland Sutton,Baker Mayfield
99,35,104.74,berettajames,Christian McCaffrey,Davante Adams,Jalen Hurts,D.J. Moore,Jakobi Meyers,Hunter Henry
100,32.5,104.72,danjpreciado,Jonathan Taylor,Rome Odunze,Tetairoa McMillan,Jake Ferguson,Caleb Williams,Jacory Croskey-Merritt
100,32.5,104.72,hotsizauce,Jonathan Taylor,Rome Odunze,Tetairoa McMillan,Jake Ferguson,Caleb Williams,Jacory Croskey-Merritt
102,30,104.54,d4ve,Ashton Jeanty,Jalen Hurts,Chuba Hubbard,A.J. Brown,Jauan Jennings,Hunter Henry
103,30,104.52,d4ve,Puka Nacua,Nico Collins,Alvin Kamara,Kenneth Walker III,Drake Maye,Hunter Henry
103,30,104.52,nosoupforyou,Jonathan Taylor,Jake Ferguson,Travis Etienne Jr.,Drake Maye,DK Metcalf,Keenan Allen
103,30,104.52,barsy,Jonathan Taylor,Ladd McConkey,Kyren Williams,Jake Ferguson,Courtland Sutton,Bo Nix
106,30,104.42,joopy,Jonathan Taylor,Chuba Hubbard,Mike Evans,Jake Ferguson,Baker Mayfield,Courtland Sutton
107,30,104.36,fullyloaded,Jaxon Smith-Njigba,Jordan Mason,Jake Ferguson,Kyren Williams,Ricky Pearsall,Kyler Murray
108,30,104.32,aaronjh22,Jonathan Taylor,Rome Odunze,Ladd McConkey,Juwan Johnson,Caleb Williams,Quinshon Judkins
109,30,104.24,danjpreciado,Christian McCaffrey,Jalen Hurts,Chuba Hubbard,Garrett Wilson,Calvin Ridley,Hunter Henry
109,30,104.24,aaronjh22,Jonathan Taylor,Jalen Hurts,Chase Brown,DK Metcalf,Garrett Wilson,Dallas Goedert
111,30,104.22,lee121503,Jonathan Taylor,Rome Odunze,Ladd McConkey,Jaylen Warren,Caleb Williams,T.J. Hockenson
112,30,104.14,dahntahnyinz,Ja'Marr Chase,Jalen Hurts,A.J. Brown,Kyren Williams,Courtland Sutton,Dallas Goedert
113,30,104.1,twelvefluidounces,Kenneth Walker III,Jordan Mason,Jake Ferguson,Justin Herbert,Courtland Sutton,Quentin Johnston
114,30,104.08,egreenmonster,Jonathan Taylor,Rome Odunze,Kenneth Walker III,Jayden Daniels,Zach Ertz,Keenan Allen
115,30,104.06,dbaggot3,Trey McBride,Jordan Mason,Tony Pollard,A.J. Brown,Kyler Murray,Jauan Jennings
116,30,104.04,goods,Jonathan Taylor,Jalen Hurts,Breece Hall,DK Metcalf,Keenan Allen,Dallas Goedert
117,30,103.84,d4ve,Jonathan Taylor,Jalen Hurts,A.J. Brown,DK Metcalf,Rhamondre Stevenson,Dallas Goedert
118,30,103.82,nez,Jonathan Taylor,Kenneth Walker III,Ladd McConkey,Caleb Williams,Keenan Allen,Jonnu Smith
119,30,103.34,thewood1105,Jordan Mason,Jalen Hurts,Breece Hall,Garrett Wilson,Juwan Johnson,DeVonta Smith
119,30,103.34,danjpreciado,Puka Nacua,Jalen Hurts,Tony Pollard,Kyren Williams,Garrett Wilson,David Njoku
121,30,103.26,ecoxer10,Bucky Irving,Brock Bowers,Omarion Hampton,A.J. Brown,Ricky Pearsall,Geno Smith
121,30,103.26,gpngc,Bucky Irving,Nico Collins,A.J. Brown,Ricky Pearsall,C.J. Stroud,Hunter Henry
123,30,103.22,sackreligious9,Justin Jefferson,Jordan Mason,Breece Hall,A.J. Brown,Caleb Williams,T.J. Hockenson
123,30,103.22,tonysprocket,Jonathan Taylor,George Pickens,Jake Ferguson,D.J. Moore,Drake Maye,Calvin Austin III
125,30,103.14,chadcandles,Puka Nacua,Jalen Hurts,A.J. Brown,Kenneth Walker III,Jacory Croskey-Merritt,Dallas Goedert
126,30,103.12,farthingmd,Jonathan Taylor,Jayden Daniels,Davante Adams,Omarion Hampton,Calvin Ridley,T.J. Hockenson
126,30,103.12,tyler2121,Jordan Mason,Ashton Jeanty,A.J. Brown,D.J. Moore,Caleb Williams,T.J. Hockenson
128,30,103.02,gmeholder,Puka Nacua,Rome Odunze,Tetairoa McMillan,Caleb Williams,Travis Etienne Jr.,Hunter Henry
128,30,103.02,jgfc,Jordan Mason,Rome Odunze,Mike Evans,Jake Ferguson,Caleb Williams,Jaylen Warren
128,30,103.02,btxj,Jaxon Smith-Njigba,Javonte Williams,Garrett Wilson,Jaylen Warren,Hunter Henry,Drake Maye
131,30,102.94,cgeeeeee,Jonathan Taylor,Jalen Hurts,Alvin Kamara,Keenan Allen,DK Metcalf,Dallas Goedert
131,30,102.94,bobmoblob,Jonathan Taylor,Jalen Hurts,A.J. Brown,Emeka Egbuka,Zach Ertz,Marvin Harrison
133,30,102.92,wille195,Jordan Mason,Trey McBride,Tony Pollard,Garrett Wilson,Courtland Sutton,Bo Nix
134,30,102.82,egreenmonster,Justin Jefferson,Trey McBride,D.J. Moore,Caleb Williams,Kyren Williams,Omarion Hampton
135,30,102.8,fatjaffe,Jonathan Taylor,Javonte Williams,DK Metcalf,Jake Ferguson,Justin Herbert,Courtland Sutton
136,30,102.72,kuruc711,Jaxon Smith-Njigba,Josh Jacobs,Mike Evans,Kyren Williams,Hunter Henry,Drake Maye
136,30,102.72,babyjay248,Nico Collins,Drake London,Kyren Williams,A.J. Brown,Caleb Williams,Chig Okonkwo
138,30,102.66,bestballviper,Jonathan Taylor,Tyler Warren,Tony Pollard,Garrett Wilson,Cam Ward,Courtland Sutton
139,30,102.62,tonysprocket,Jordan Mason,Rome Odunze,Jake Ferguson,Caleb Williams,Jacory Croskey-Merritt,Quentin Johnston
140,30,102.52,bucs1105,Christian McCaffrey,Ashton Jeanty,George Pickens,Garrett Wilson,Caleb Williams,T.J. Hockenson
140,30,102.52,kuruc711,Jonathan Taylor,Chase Brown,Mike Evans,DK Metcalf,Hunter Henry,Drake Maye
140,30,102.52,jbaconator,Josh Jacobs,Jordan Mason,Jakobi Meyers,Keenan Allen,Drake Maye,Hunter Henry
143,30,102.48,manaray31,Jonathan Taylor,Mike Evans,Drake London,Kyren Williams,Jayden Daniels,T.J. Hockenson
144,30,102.46,ingelx,Jaxon Smith-Njigba,Brock Bowers,Tony Pollard,Kyren Williams,Geno Smith,Garrett Wilson
145,30,102.32,bustersboys,Trey McBride,Nico Collins,Caleb Williams,D.J. Moore,D'Andre Swift,Omarion Hampton
145,30,102.32,ryguy92,Bucky Irving,Rome Odunze,A.J. Brown,Travis Etienne Jr.,Drake Maye,Hunter Henry
145,30,102.32,thewood1105,Jonathan Taylor,Javonte Williams,Tyler Warren,Garrett Wilson,Daniel Jones,Courtland Sutton
145,30,102.32,jokah03,Josh Jacobs,Jordan Mason,A.J. Brown,Jake Ferguson,Bo Nix,Courtland Sutton
145,30,102.32,bustersboys,Trey McBride,Nico Collins,D.J. Moore,Caleb Williams,D'Andre Swift,Omarion Hampton
150,30,102.3,jgfc,Jonathan Taylor,Mike Evans,Kenneth Walker III,Justin Herbert,Jake Ferguson,Quentin Johnston
151,30,102.22,dmlarson,Bucky Irving,Jordan Mason,A.J. Brown,Jake Ferguson,Daniel Jones,Michael Pittman Jr.
152,30,102.14,jettns,Puka Nacua,Jalen Hurts,Tony Pollard,A.J. Brown,Jacory Croskey-Merritt,T.J. Hockenson
152,30,102.14,manaray31,Puka Nacua,Jalen Hurts,Tony Pollard,A.J. Brown,Jacory Croskey-Merritt,T.J. Hockenson
154,30,102,k1ngchief88,Jordan Mason,Brock Bowers,Kyren Williams,Justin Herbert,Keenan Allen,Courtland Sutton
155,30,101.94,tad4764,Justin Jefferson,Jalen Hurts,George Pickens,Kyren Williams,Quinshon Judkins,T.J. Hockenson
156,30,101.84,manaray31,Puka Nacua,Jalen Hurts,A.J. Brown,Jaylen Warren,Travis Etienne Jr.,T.J. Hockenson
156,30,101.84,bigfudgy,Jonathan Taylor,Jalen Hurts,Chase Brown,Garrett Wilson,DeVonta Smith,Ja'Tavion Sanders
158,30,101.82,d33mart,Trey McBride,Rome Odunze,Jaylen Warren,Caleb Williams,J.K. Dobbins,Courtland Sutton
159,30,101.74,ad5,Jordan Mason,Jalen Hurts,Jake Ferguson,Jaylen Warren,Jakobi Meyers,DeVonta Smith
160,30,101.64,patrickbarnesyoutube,Brock Bowers,Jalen Hurts,Tony Pollard,A.J. Brown,Jauan Jennings,DeVonta Smith
161,30,101.62,bestballviper,Jordan Mason,Javonte Williams,Garrett Wilson,Jake Ferguson,Courtland Sutton,Bo Nix
161,30,101.62,nez,Jordan Mason,Mike Evans,Jaylen Warren,George Pickens,Daniel Jones,Hunter Henry
163,30,101.52,bhokevin,Puka Nacua,Rome Odunze,A.J. Brown,Bhayshul Tuten,Caleb Williams,T.J. Hockenson
164,30,101.44,mikec6212,Nico Collins,Jalen Hurts,A.J. Brown,Travis Etienne Jr.,David Njoku,Quinshon Judkins
165,30,101.42,nez,Jordan Mason,Javonte Williams,D.J. Moore,Caleb Williams,Calvin Ridley,Hunter Henry
165,30,101.42,jonboybeats,Jaxon Smith-Njigba,Jordan Mason,Deebo Samuel,Jaylen Warren,Drake Maye,Hunter Henry
167,30,101.34,danjpreciado,Jonathan Taylor,Jalen Hurts,Kyren Williams,Emeka Egbuka,Juwan Johnson,Calvin Ridley
167,30,101.34,nez,Jordan Mason,Jalen Hurts,Tony Pollard,Keenan Allen,DeVonta Smith,Jonnu Smith
169,30,101.32,jgfc,Christian McCaffrey,Rome Odunze,George Pickens,D.J. Moore,Caleb Williams,T.J. Hockenson
169,30,101.32,sjweil9,Justin Jefferson,Jordan Mason,George Pickens,Breece Hall,Drake Maye,Hunter Henry
171,30,101.22,tonysprocket,Jordan Mason,Rome Odunze,Jake Ferguson,Caleb Williams,Keenan Allen,Cooper Kupp
171,30,101.22,noahwhit47,Jordan Mason,Trey McBride,DK Metcalf,Kyren Williams,Drake Maye,Jauan Jennings
173,30,101.12,wille195,Jaxon Smith-Njigba,Ashton Jeanty,A.J. Brown,Travis Etienne Jr.,Drake Maye,Hunter Henry
173,30,101.12,stephon828,Jaxon Smith-Njigba,Drake London,Kenneth Walker III,Omarion Hampton,Caleb Williams,David Njoku
173,30,101.12,patrickbarnesyoutube,Christian McCaffrey,George Pickens,Kyren Williams,Garrett Wilson,T.J. Hockenson,Daniel Jones
173,30,101.12,spoonerj,Jordan Mason,Mike Evans,A.J. Brown,Zach Ertz,Jauan Jennings,Drake Maye
173,30,101.12,dmlarson,Jonathan Taylor,Rome Odunze,George Pickens,Caleb Williams,Jacory Croskey-Merritt,Ja'Tavion Sanders
178,30,101.02,kcpolack,Jonathan Taylor,Mike Evans,Kenneth Walker III,Garrett Wilson,Baker Mayfield,Jonnu Smith
178,30,101.02,carpark03,Jonathan Taylor,Mike Evans,George Pickens,Kyren Williams,Daniel Jones,Chig Okonkwo
180,30,100.9,hotsizauce,Jaxon Smith-Njigba,Jordan Mason,Tony Pollard,Jake Ferguson,Justin Herbert,Keenan Allen
181,30,100.84,wetlikeimbook1224,Bucky Irving,Jalen Hurts,Jake Ferguson,A.J. Brown,Jauan Jennings,Jacory Croskey-Merritt
182,30,100.74,ez116,Jonathan Taylor,Jalen Hurts,Mike Evans,A.J. Brown,James Conner,Harold Fannin
183,30,100.72,fullyloaded,Jordan Mason,Kenneth Walker III,Jake Ferguson,Garrett Wilson,Jakobi Meyers,Baker Mayfield
184,30,100.56,dmlarson,Jonathan Taylor,Brock Bowers,Brian Thomas,Kyren Williams,Chris Olave,Geno Smith
185,30,100.54,thewood1105,Jonathan Taylor,Jalen Hurts,Chase Brown,DK Metcalf,Dallas Goedert,Ricky Pearsall
186,30,100.52,berettajames,Nico Collins,Jordan Mason,Tucker Kraft,A.J. Brown,Courtland Sutton,Bo Nix
187,30,100.44,d33mart,Puka Nacua,Jalen Hurts,A.J. Brown,Garrett Wilson,J.K. Dobbins,Cade Otton
188,30,100.42,burtbra3,Jonathan Taylor,Brock Bowers,Breece Hall,A.J. Brown,Bo Nix,Courtland Sutton
188,30,100.42,awe419,Puka Nacua,Nico Collins,Tucker Kraft,D'Andre Swift,Caleb Williams,Omarion Hampton
190,30,100.32,thewood1105,Jordan Mason,Javonte Williams,George Pickens,Brian Thomas,Hunter Henry,Drake Maye
191,30,100.24,nailsou,Puka Nacua,Jalen Hurts,Tony Pollard,Travis Etienne Jr.,DeVonta Smith,T.J. Hockenson
191,30,100.24,jwhitz89,Jonathan Taylor,Jalen Hurts,Chuba Hubbard,D.J. Moore,Dallas Goedert,Chris Olave
193,30,100.22,tibbzy,Jonathan Taylor,George Pickens,Ladd McConkey,J.K. Dobbins,Caleb Williams,Colston Loveland
194,30,100.14,shaidyadvice,Christian McCaffrey,Jalen Hurts,Chuba Hubbard,Juwan Johnson,Garrett Wilson,Keenan Allen
195,30,100.1,hogcrazie,Jonathan Taylor,Rome Odunze,Tyler Warren,Justin Herbert,J.K. Dobbins,Garrett Wilson
196,30,100.04,cgeeeeee,Jonathan Taylor,Jalen Hurts,Alvin Kamara,Jakobi Meyers,Keenan Allen,Dallas Goedert
197,30,99.94,patrickbarnesyoutube,Christian McCaffrey,Jalen Hurts,Drake London,A.J. Brown,Kenneth Walker III,David Njoku
197,30,99.94,vindep,Jonathan Taylor,Jalen Hurts,Brian Thomas,Keenan Allen,Jaylen Warren,David Njoku
197,30,99.94,ewanaprize,Puka Nacua,Jalen Hurts,A.J. Brown,Juwan Johnson,Jacory Croskey-Merritt,DeVonta Smith
200,30,99.92,hotsizauce,Jonathan Taylor,Davante Adams,Alvin Kamara,Jayden Daniels,Garrett Wilson,Dallas Goedert
201,30,99.84,thewood1105,Jaxon Smith-Njigba,Jalen Hurts,A.J. Brown,Kyren Williams,Zach Ertz,D'Andre Swift
201,30,99.84,betag21,Bucky Irving,Jalen Hurts,Kenneth Walker III,A.J. Brown,Garrett Wilson,Ja'Tavion Sanders
203,30,99.82,cgeeeeee,Jonathan Taylor,Ashton Jeanty,Tetairoa McMillan,DK Metcalf,Drake Maye,Hunter Henry
203,30,99.82,awe419,Jaxon Smith-Njigba,Josh Jacobs,Breece Hall,Garrett Wilson,Drake Maye,Hunter Henry
205,30,99.72,jonboybeats,Jonathan Taylor,Rome Odunze,Brian Thomas,Caleb Williams,D'Andre Swift,Dallas Goedert
205,30,99.72,d4ve,Nico Collins,Jaxon Smith-Njigba,Jordan Mason,Omarion Hampton,Baker Mayfield,Cade Otton
207,30,99.68,mathology,Jonathan Taylor,Jayden Daniels,Omarion Hampton,Deebo Samuel,Terry McLaurin,T.J. Hockenson
208,30,99.64,schmoe330,Jonathan Taylor,Jalen Hurts,Kyren Williams,Juwan Johnson,Terry McLaurin,Cooper Kupp
209,30,99.62,cirocdfs,Jonathan Taylor,Chase Brown,George Pickens,D.J. Moore,Caleb Williams,Brenton Strange
209,30,99.62,patrickbarnesyoutube,Christian McCaffrey,Drake London,Jordan Mason,D.J. Moore,Caleb Williams,Chig Okonkwo
