place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
1,10000,128.64,amacd123,Jonathan Taylor,Jalen Hurts,Kenneth Walker III,A.J. Brown,Marvin Harrison,Hunter Henry
2,10000,121.52,goazcards,Jonathan Taylor,Jordan Mason,Rome Odunze,Juwan Johnson,Caleb Williams,Ricky Pearsall
3,10000,119.92,noahpetro23,Jordan Mason,Ashton Jeanty,A.J. Brown,Caleb Williams,Hunter Henry,DeVonta Smith
4,1000,119.72,berettajames,Jaxon Smith-Njigba,Jordan Mason,Tony Pollard,A.J. Brown,Hunter Henry,Drake Maye
5,900,119.12,hdjdhdjdjsk,Jonathan Taylor,Rome Odunze,Kenneth Walker III,Caleb Williams,Juwan Johnson,Garrett Wilson
6,800,119.02,cognition10,Jonathan Taylor,Rome Odunze,A.J. Brown,Caleb Williams,Travis Etienne Jr.,T.J. Hockenson
7,700,118.94,masterm13,Jonathan Taylor,Jalen Hurts,Kenneth Walker III,DeVonta Smith,Jauan Jennings,Chig Okonkwo
8,600,117.14,cavaleman,Christian McCaffrey,Jalen Hurts,A.J. Brown,Omarion Hampton,Courtland Sutton,David Njoku
9,500,117.04,patrickbarnesyoutube,Puka Nacua,Jalen Hurts,Kyren Williams,Emeka Egbuka,DeVonta Smith,Hunter Henry
10,400,116.94,urbanik,Jonathan Taylor,Jalen Hurts,George Pickens,A.J. Brown,Travis Etienne Jr.,Dallas Goedert
11,300,115.84,kronos40,Jordan Mason,Jalen Hurts,Tony Pollard,Garrett Wilson,Marvin Harrison,Hunter Henry
12,300,115.54,noahwhit47,Christian McCaffrey,Kenneth Walker III,Jalen Hurts,Garrett Wilson,Courtland Sutton,Dallas Goedert
13,300,115.22,nez,Jonathan Taylor,Davante Adams,Kenneth Walker III,D.J. Moore,Caleb Williams,T.J. Hockenson
14,300,114.44,nez,Jonathan Taylor,Jalen Hurts,Jordan Mason,DK Metcalf,DeVonta Smith,Jonnu Smith
15,300,114.12,jgfc,Jonathan Taylor,Rome Odunze,Kenneth Walker III,Keenan Allen,Caleb Williams,David Njoku
16,200,113.92,fatjaffe,Jaxon Smith-Njigba,Nico Collins,Kyren Williams,Kenneth Walker III,Sam Darnold,Hunter Henry
17,200,113.42,nez,Jonathan Taylor,Rome Odunze,Chuba Hubbard,Jake Ferguson,Caleb Williams,Keenan Allen
18,200,113.02,manaray31,Jordan Mason,Jaxon Smith-Njigba,George Pickens,D.J. Moore,Drake Maye,Hunter Henry
19,200,112.82,awe419,Jaxon Smith-Njigba,Nico Collins,Tony Pollard,Kyren Williams,Drake Maye,Hunter Henry
20,200,112.8,sackreligious9,Jordan Mason,Kyren Williams,A.J. Brown,Jake Ferguson,Justin Herbert,Courtland Sutton
21,100,112.74,jtmckenzi,Jonathan Taylor,Davante Adams,Jalen Hurts,Jake Ferguson,James Conner,Garrett Wilson
22,100,112.72,yuungmoolahh,Jonathan Taylor,Rome Odunze,A.J. Brown,Caleb Williams,Jacory Croskey-Merritt,Chig Okonkwo
23,100,112.34,lee121503,Jonathan Taylor,Jalen Hurts,George Pickens,Juwan Johnson,Jakobi Meyers,Courtland Sutton
24,100,112.22,cab4123,Jonathan Taylor,Rome Odunze,Kyren Williams,D.J. Moore,Caleb Williams,Chig Okonkwo
25,100,112.14,d4ve,Puka Nacua,Jalen Hurts,A.J. Brown,Travis Etienne Jr.,Hunter Henry,D'Andre Swift
26,50,111.72,nez,Jonathan Taylor,Davante Adams,Alvin Kamara,Keenan Allen,Drake Maye,Hunter Henry
27,50,111.62,hdjdhdjdjsk,Puka Nacua,Jordan Mason,George Pickens,Jake Ferguson,Travis Etienne Jr.,Caleb Williams
28,50,111.32,nez,Puka Nacua,Kenneth Walker III,George Pickens,Keenan Allen,Drake Maye,Hunter Henry
28,50,111.32,nez,Jonathan Taylor,Drake London,Tyler Warren,Omarion Hampton,Jauan Jennings,Caleb Williams
30,50,111.04,lee121503,Jaxon Smith-Njigba,Jalen Hurts,A.J. Brown,Kyren Williams,DeVonta Smith,Dallas Goedert
31,50,110.74,patrickbarnesyoutube,Jonathan Taylor,Jalen Hurts,George Pickens,A.J. Brown,D'Andre Swift,Kyle Pitts
32,50,110.64,jeffern8,Jonathan Taylor,Jalen Hurts,Tetairoa McMillan,Garrett Wilson,Dallas Goedert,J.K. Dobbins
33,50,110.54,jewishmccaffrey,Jonathan Taylor,Davante Adams,Jalen Hurts,Travis Etienne Jr.,Ricky Pearsall,Dallas Goedert
34,50,110.22,bestballviper,Jordan Mason,Josh Jacobs,Courtland Sutton,DK Metcalf,Drake Maye,Hunter Henry
35,50,110.14,urbanik,Jordan Mason,Jalen Hurts,Jake Ferguson,A.J. Brown,J.K. Dobbins,Matthew Golden
35,50,110.14,in3us,Jonathan Taylor,Jalen Hurts,A.J. Brown,Jake Ferguson,D'Andre Swift,Marvin Harrison
37,50,110.12,d4ve,Puka Nacua,Javonte Williams,Jordan Mason,Jake Ferguson,Jauan Jennings,Caleb Williams
38,50,110.04,nez,Jonathan Taylor,Jordan Mason,George Pickens,Dak Prescott,Keenan Allen,Dallas Goedert
39,50,110.02,krutches93,Jonathan Taylor,Davante Adams,Mike Evans,Jake Ferguson,Garrett Wilson,Drake Maye
40,50,109.7,copperprices,Jonathan Taylor,Mike Evans,Jake Ferguson,Justin Herbert,Keenan Allen,Courtland Sutton
41,50,109.62,tubinis2121,Puka Nacua,Javonte Williams,Kenneth Walker III,A.J. Brown,Drake Maye,Hunter Henry
42,50,109.52,manaray31,Bucky Irving,Jordan Mason,Jake Ferguson,D.J. Moore,Caleb Williams,Garrett Wilson
43,50,109.42,jtmckenzi,Josh Jacobs,Jordan Mason,A.J. Brown,D.J. Moore,Drake Maye,Hunter Henry
43,50,109.42,ddamron44,Christian McCaffrey,Davante Adams,Breece Hall,Caleb Williams,Keenan Allen,Hunter Henry
45,50,109.24,goazcards,Jonathan Taylor,Jalen Hurts,Jake Ferguson,Jakobi Meyers,Chris Olave,Ricky Pearsall
46,50,109.12,kcpolack,Jonathan Taylor,Rome Odunze,George Pickens,Jaylen Warren,Caleb Williams,Chig Okonkwo
47,50,109.06,djrj21,Bucky Irving,Brock Bowers,Kenneth Walker III,Terry McLaurin,Geno Smith,Tre Tucker
48,50,108.52,jgfc,Jonathan Taylor,Javonte Williams,Davante Adams,Kyle Pitts,Caleb Williams,Jauan Jennings
49,50,108.34,crblake2,Jonathan Taylor,Jalen Hurts,Davante Adams,Garrett Wilson,Kyle Pitts,Jacory Croskey-Merritt
50,50,108.28,z34sergio,Bijan Robinson,DK Metcalf,Keenan Allen,Tyrod Taylor,Tre Tucker,T.J. Hockenson
51,35,108.24,jewishmccaffrey,Jonathan Taylor,Davante Adams,Jalen Hurts,Tony Pollard,Kyle Pitts,DeVonta Smith
52,35,108.22,dmlarson,Jonathan Taylor,Rome Odunze,Kenneth Walker III,Caleb Williams,Kyle Pitts,Chris Olave
53,35,108.14,chris,Jonathan Taylor,Jalen Hurts,George Pickens,Jaylen Warren,Kyle Pitts,DeVonta Smith
54,35,108.02,idraftbamfs,Jonathan Taylor,Davante Adams,A.J. Brown,D.J. Moore,Caleb Williams,Jonnu Smith
54,35,108.02,razor33,Nico Collins,Jaxon Smith-Njigba,Kyren Williams,Travis Etienne Jr.,Evan Engram,Sam Darnold
56,35,107.84,aaronjh22,Jonathan Taylor,Jalen Hurts,Kenneth Walker III,Juwan Johnson,Marvin Harrison,DeVonta Smith
57,35,107.82,dmlarson,Jonathan Taylor,Jordan Mason,Rome Odunze,Juwan Johnson,Caleb Williams,Tee Higgins
58,35,107.74,jasta29,Trey McBride,Jalen Hurts,Kenneth Walker III,Travis Etienne Jr.,Jauan Jennings,DeVonta Smith
58,35,107.74,berettajames,Jonathan Taylor,Jalen Hurts,George Pickens,D.J. Moore,Emeka Egbuka,Dallas Goedert
60,35,107.72,cavaleman,Christian McCaffrey,Kenneth Walker III,George Pickens,Drake Maye,Chris Olave,Hunter Henry
