place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
1,10000,159.06,yuzenn,Jonathan Taylor,D'Andre Swift,Chris Olave,Keenan Allen,Jake Ferguson,Bo Nix
2,10000,148.26,awe419,Quinshon Judkins,Trey McBride,Chris Olave,Alvin Kamara,DeVonta Smith,Bo Nix
3,10000,146.72,sickodank,Quinshon Judkins,D'Andre Swift,Jake Ferguson,Keenan Allen,DeVonta Smith,Jaxson Dart
4,1000,145.6,bustersboys,Jonathan Taylor,Courtland Sutton,A.J. Brown,Justin Herbert,Jordan Addison,Oronde Gadsden
5,900,142.34,tubinis2121,Jonathan Taylor,A.J. Brown,Jalen Hurts,Keenan Allen,DeVonta Smith,T.J. Hockenson
6,800,141.26,awe419,Quinshon Judkins,Trey McBride,Cam Skattebo,Tetairoa McMillan,DeVonta Smith,Bo Nix
7,700,141.22,d4ve,Javonte Williams,Cam Skattebo,Trey McBride,Keenan Allen,DeVonta Smith,Jaxson Dart
8,600,141.16,benrothlesberger,Jonathan Taylor,Courtland Sutton,A.J. Brown,Keenan Allen,Hunter Henry,Bo Nix
9,500,140.6,bustersboys,Jonathan Taylor,D'Andre Swift,A.J. Brown,Justin Herbert,Matthew Golden,Brock Bowers
10,400,140.22,krutches93,Jonathan Taylor,Trey McBride,D'Andre Swift,Quentin Johnston,Keenan Allen,Jaxson Dart
11,300,140.2,patrickbarnesyoutube,Jonathan Taylor,Jordan Mason,Ladd McConkey,Justin Herbert,DeVonta Smith,Oronde Gadsden
12,300,140.02,berettajames,Jonathan Taylor,Tyler Warren,Cam Skattebo,Jordan Addison,DeVonta Smith,Jaxson Dart
13,300,140,jtmckenzi,Jonathan Taylor,Trey McBride,Jordan Mason,Justin Herbert,DeVonta Smith,Wan'Dale Robinson
14,300,139.96,chadg20,Quinshon Judkins,D'Andre Swift,Stefon Diggs,DeVonta Smith,Bo Nix,Theo Johnson
15,250,139.36,tubinis2121,Jonathan Taylor,Cam Skattebo,Courtland Sutton,Bo Nix,DeVonta Smith,T.J. Hockenson
15,250,139.36,shagnastyball17,Quinshon Judkins,D'Andre Swift,A.J. Brown,Tucker Kraft,Bo Nix,Alec Pierce
17,200,139.3,awe419,Quinshon Judkins,Trey McBride,A.J. Brown,Justin Herbert,Keenan Allen,Jakobi Meyers
18,200,139.06,patkline07,Quinshon Judkins,Trey McBride,Courtland Sutton,Terry McLaurin,DeVonta Smith,Bo Nix
19,200,137.66,bustersboys,Quinshon Judkins,Trey McBride,Courtland Sutton,DeVonta Smith,Alvin Kamara,Bo Nix
20,200,137,bustersboys,Jonathan Taylor,Ladd McConkey,J.K. Dobbins,DeVonta Smith,Justin Herbert,Oronde Gadsden
21,100,136.96,bustersboys,Jonathan Taylor,D'Andre Swift,Courtland Sutton,Travis Kelce,Keenan Allen,Bo Nix
22,100,136.8,bustersboys,Quinshon Judkins,Ladd McConkey,A.J. Brown,Justin Herbert,Michael Pittman Jr.,Oronde Gadsden
23,100,136.46,danjpreciado,Jonathan Taylor,Ladd McConkey,Cam Skattebo,Travis Kelce,DeVonta Smith,Bo Nix
24,100,136,kcpolack,Jonathan Taylor,D'Andre Swift,Trey McBride,Justin Herbert,Jordan Addison,Troy Franklin
25,100,135.86,imagikarp,Quinshon Judkins,Tyler Warren,J.K. Dobbins,Michael Pittman Jr.,DeVonta Smith,Bo Nix
26,50,135.56,patrickbarnesyoutube,Quinshon Judkins,Cam Skattebo,Chris Olave,Keenan Allen,Bo Nix,Mason Taylor
27,50,135.46,bustersboys,Jonathan Taylor,D'Andre Swift,Courtland Sutton,DeVonta Smith,Bo Nix,Darren Waller
28,50,135.42,marigobrazy,Jonathan Taylor,Tyler Warren,Chris Olave,DeVonta Smith,Daniel Jones,Kayshon Boutte
29,50,134.9,jbaconator,Jonathan Taylor,D'Andre Swift,Deebo Samuel,Keenan Allen,Justin Herbert,Oronde Gadsden
