place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
135,30,107.32,tubinis2121,James Cook,Ashton Jeanty,Zay Flowers,Xavier Worthy,Drake Maye,Zach Ertz
137,30,107.3,drapp,Jonathan Taylor,Jalen Hurts,Ashton Jeanty,D.J. Moore,Quentin Johnston,Dallas Goedert
138,30,107.16,lee121503,Puka Nacua,Amon-Ra St. Brown,Chuba Hubbard,Jayden Daniels,TreVeyon Henderson,Kyle Pitts
139,30,107.12,fflinx,Christian McCaffrey,Cam Skattebo,Emeka Egbuka,Hunter Henry,Drake Maye,Quentin Johnston
139,30,107.12,naur0,Bijan Robinson,Drake London,Xavier Worthy,Drake Maye,Quentin Johnston,Cade Otton
141,30,107.08,awe419,Bijan Robinson,Ashton Jeanty,Drake London,Caleb Williams,Michael Pittman Jr.,David Njoku
142,30,107.02,krutches93,James Cook,Ashton Jeanty,Zay Flowers,Chris Olave,Drake Maye,Hunter Henry
142,30,107.02,awolff225,Bijan Robinson,Cam Skattebo,Tetairoa McMillan,Quentin Johnston,Drake Maye,Dallas Goedert
144,30,107,ingelx,Omarion Hampton,Amon-Ra St. Brown,Zay Flowers,D'Andre Swift,Travis Kelce,Patrick Mahomes
145,30,106.9,ingelx,Omarion Hampton,Malik Nabers,Deebo Samuel,Travis Etienne Jr.,Kyle Pitts,Patrick Mahomes
146,30,106.8,patrickbarnesyoutube,Christian McCaffrey,Quinshon Judkins,Tyler Warren,Chris Olave,Michael Pittman Jr.,Patrick Mahomes
146,30,106.8,d33mart,Bucky Irving,Amon-Ra St. Brown,Xavier Worthy,Patrick Mahomes,DeVonta Smith,Kyle Pitts
146,30,106.8,awe419,Bijan Robinson,Brock Bowers,Drake London,Patrick Mahomes,D'Andre Swift,Hollywood Brown
146,30,106.8,ykoom,Puka Nacua,Jalen Hurts,Travis Etienne Jr.,Quentin Johnston,TreVeyon Henderson,Brenton Strange
150,30,106.76,daddy34,Omarion Hampton,Amon-Ra St. Brown,Quinshon Judkins,Jayden Daniels,Michael Pittman Jr.,Brenton Strange
151,30,106.7,tubinis2121,James Cook,Ashton Jeanty,Zay Flowers,Patrick Mahomes,Chris Olave,Mark Andrews
152,30,106.6,d4ve,Puka Nacua,Davante Adams,Ladd McConkey,Travis Etienne Jr.,Matthew Stafford,Kyle Pitts
153,30,106.46,btxj,Bijan Robinson,Ashton Jeanty,Deebo Samuel,D.J. Moore,Zach Ertz,Baker Mayfield
154,30,106.42,jgfc,Puka Nacua,Davante Adams,Quinshon Judkins,TreVeyon Henderson,Justin Herbert,Dallas Goedert
155,30,106.4,hockeyhooligan,Omarion Hampton,Jalen Hurts,Deebo Samuel,Xavier Worthy,Michael Pittman Jr.,Dallas Goedert
156,30,106.36,adaip06,Emeka Egbuka,Ashton Jeanty,Ricky Pearsall,TreVeyon Henderson,Baker Mayfield,Dallas Goedert
157,30,106.3,ez116,Jahmyr Gibbs,Ashton Jeanty,Deebo Samuel,Patrick Mahomes,Travis Kelce,Jauan Jennings
157,30,106.3,ez116,Omarion Hampton,Amon-Ra St. Brown,Tetairoa McMillan,Travis Etienne Jr.,Patrick Mahomes,Juwan Johnson
159,30,106.26,camnealjones,Bijan Robinson,Ashton Jeanty,Zay Flowers,Keenan Allen,Hunter Henry,Brock Purdy
160,30,106.22,piri24,Puka Nacua,Rome Odunze,Quinshon Judkins,TreVeyon Henderson,Drake Maye,Brenton Strange
161,30,106.2,bestballviper,Bijan Robinson,Drake London,Deebo Samuel,Patrick Mahomes,Nick Chubb,Brenton Strange
162,30,106.14,jtmckenzi,Omarion Hampton,Bucky Irving,Drake London,Jayden Daniels,Travis Kelce,Terry McLaurin
163,30,106.1,tonysprocket,Christian McCaffrey,Tyler Warren,Emeka Egbuka,Xavier Worthy,Patrick Mahomes,Rashid Shaheed
164,30,106.08,awe419,Christian McCaffrey,Tyler Warren,Drake London,Quentin Johnston,D'Andre Swift,Daniel Jones
165,30,106,ewanaprize,Puka Nacua,Cam Skattebo,Zay Flowers,Patrick Mahomes,Quentin Johnston,Mark Andrews
166,30,105.9,slauterisland,Christian McCaffrey,Ashton Jeanty,Brian Thomas,Patrick Mahomes,Travis Kelce,Tyquan Thornton
166,30,105.9,daviddu316,Puka Nacua,Davante Adams,Quinshon Judkins,Jakobi Meyers,Hunter Henry,Matthew Stafford
166,30,105.9,jtmckenzi,Puka Nacua,Rome Odunze,Alvin Kamara,D'Andre Swift,Hunter Henry,Matthew Stafford
169,30,105.86,krutches93,Bijan Robinson,Ashton Jeanty,Deebo Samuel,Zach Ertz,Jauan Jennings,Brock Purdy
170,30,105.8,tonysprocket,Saquon Barkley,Amon-Ra St. Brown,Quinshon Judkins,Patrick Mahomes,Xavier Worthy,Mark Andrews
171,30,105.66,benrothlesberger,Puka Nacua,Cam Skattebo,Drake London,Travis Etienne Jr.,Juwan Johnson,Baker Mayfield
172,30,105.6,awe419,Puka Nacua,Jalen Hurts,Emeka Egbuka,Tony Pollard,D'Andre Swift,Kyle Pitts
173,30,105.5,dmlarson,Christian McCaffrey,Emeka Egbuka,Jalen Hurts,Xavier Worthy,Michael Pittman Jr.,Dallas Goedert
173,30,105.5,whodeysss,Amon-Ra St. Brown,Omarion Hampton,Patrick Mahomes,Deebo Samuel,Chris Olave,Zach Ertz
173,30,105.5,awe419,Bijan Robinson,Ladd McConkey,Drake London,Patrick Mahomes,D'Andre Swift,Kyle Pitts
176,30,105.46,coleanderson,Omarion Hampton,Ashton Jeanty,Brian Thomas,Jameson Williams,Brock Purdy,Kyle Pitts
177,30,105.42,berettajames,James Cook,Ashton Jeanty,Drake London,Sam LaPorta,D.J. Moore,Michael Penix
178,30,105.4,in3us,Puka Nacua,Zay Flowers,Tyler Warren,Xavier Worthy,Matthew Stafford,Nick Chubb
179,30,105.32,fflinx,Puka Nacua,Cam Skattebo,Deebo Samuel,Hunter Henry,Drake Maye,Michael Pittman Jr.
180,30,105.3,kobegoat2424,Jahmyr Gibbs,Rome Odunze,Deebo Samuel,TreVeyon Henderson,Patrick Mahomes,Dallas Goedert
181,30,105.22,jgfc,Puka Nacua,Kyren Williams,Ashton Jeanty,Justin Herbert,Quentin Johnston,Isaiah Likely
182,30,105.2,imagikarp,Puka Nacua,Cam Skattebo,Alvin Kamara,Quentin Johnston,Travis Kelce,Matthew Stafford
182,30,105.2,daviddu316,Omarion Hampton,Amon-Ra St. Brown,Quinshon Judkins,Patrick Mahomes,D.J. Moore,Zach Ertz
182,30,105.2,awe419,Bijan Robinson,Davante Adams,Deebo Samuel,Travis Etienne Jr.,Patrick Mahomes,David Njoku
185,30,105.12,awe419,Puka Nacua,Cam Skattebo,Zay Flowers,Drake Maye,D'Andre Swift,Kyle Pitts
186,30,105.1,patrickbarnesyoutube,Puka Nacua,Davante Adams,Tyler Warren,TreVeyon Henderson,Matthew Stafford,Nick Chubb
187,30,105.08,sjweil9,Puka Nacua,Tyler Warren,Quinshon Judkins,Chris Olave,Travis Etienne Jr.,Geno Smith
188,30,105.02,krutches93,Puka Nacua,Tyler Warren,Deebo Samuel,Drake Maye,D'Andre Swift,Jauan Jennings
188,30,105.02,fflinx,James Cook,Rome Odunze,Drake London,Drake Maye,Hunter Henry,D'Andre Swift
188,30,105.02,mikey1296,Saquon Barkley,Emeka Egbuka,Quinshon Judkins,Justin Herbert,Quentin Johnston,Dallas Goedert
191,30,105,tad4764,Puka Nacua,Drake London,Patrick Mahomes,Travis Kelce,D'Andre Swift,Chris Rodriguez
191,30,105,vindep,Puka Nacua,Davante Adams,Travis Etienne Jr.,Tony Pollard,Patrick Mahomes,Mark Andrews
193,30,104.9,drapp,Jahmyr Gibbs,Davante Adams,Tyler Warren,TreVeyon Henderson,Quentin Johnston,Matthew Stafford
193,30,104.9,topstatnft,Puka Nacua,Zay Flowers,Quinshon Judkins,Zach Ertz,Patrick Mahomes,Michael Pittman Jr.
195,30,104.86,drapp,Omarion Hampton,Ashton Jeanty,Ricky Pearsall,Xavier Worthy,Mark Andrews,Brock Purdy
196,30,104.82,patrickbarnesyoutube,Christian McCaffrey,Cam Skattebo,Drake London,Drake Maye,Hunter Henry,Xavier Worthy
196,30,104.82,ingelx,James Cook,Davante Adams,Drake London,D'Andre Swift,Kyle Pitts,Michael Penix
198,30,104.76,jgfc,James Cook,Ashton Jeanty,Emeka Egbuka,Keenan Allen,Travis Kelce,Brock Purdy
198,30,104.76,kuruc711,Bijan Robinson,Davante Adams,Emeka Egbuka,Quentin Johnston,Travis Kelce,Baker Mayfield
200,30,104.72,daddy34,Omarion Hampton,Amon-Ra St. Brown,Drake London,Travis Etienne Jr.,Harold Fannin,Jared Goff
200,30,104.72,ingelx,Omarion Hampton,Amon-Ra St. Brown,Zay Flowers,Drake London,David Njoku,Drake Maye
202,30,104.66,sickodank,Omarion Hampton,Emeka Egbuka,Jakobi Meyers,Travis Etienne Jr.,Dallas Goedert,Baker Mayfield
203,30,104.64,tonysprocket,Saquon Barkley,Ashton Jeanty,Quentin Johnston,Xavier Worthy,Zach Ertz,Marcus Mariota
204,30,104.62,ingelx,James Cook,Amon-Ra St. Brown,Cam Skattebo,Tetairoa McMillan,Drake Maye,Dallas Goedert
205,30,104.6,ez116,Bijan Robinson,Davante Adams,Tyler Warren,Xavier Worthy,Patrick Mahomes,Nick Chubb
206,30,104.54,jgfc,James Cook,Amon-Ra St. Brown,Jayden Daniels,Deebo Samuel,Travis Etienne Jr.,Zach Ertz
207,30,104.5,chris,Puka Nacua,Rome Odunze,Tyler Warren,Chuba Hubbard,Chris Olave,Matthew Stafford
208,30,104.48,samology,Omarion Hampton,Amon-Ra St. Brown,Caleb Williams,Deebo Samuel,Quentin Johnston,Travis Kelce
209,30,104.46,chessliam,Saquon Barkley,Ashton Jeanty,Drake London,Ricky Pearsall,Dalton Kincaid,Brock Purdy
