place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
1,10000,129.5,tubinis2121,Puka Nacua,Ashton Jeanty,Emeka Egbuka,Xavier Worthy,Patrick Mahomes,Brenton Strange
2,10000,127.72,in3us,Bijan Robinson,Ashton Jeanty,Deebo Samuel,Justin Herbert,Quentin Johnston,Dallas Goedert
3,10000,125.5,leagueofitems,Bijan Robinson,Ashton Jeanty,Drake London,Patrick Mahomes,Travis Kelce,Hollywood Brown
4,1000,123.6,tad4764,Bijan Robinson,Ashton Jeanty,Drake London,Patrick Mahomes,Xavier Worthy,David Njoku
5,900,123,tmoneyttime1,Omarion Hampton,Ashton Jeanty,Deebo Samuel,Xavier Worthy,Mark Andrews,Patrick Mahomes
6,800,121.9,jtmckenzi,Puka Nacua,Ashton Jeanty,Chuba Hubbard,Quentin Johnston,Juwan Johnson,Matthew Stafford
7,700,121.4,dabk,Bijan Robinson,Davante Adams,Ashton Jeanty,Patrick Mahomes,Xavier Worthy,Travis Kelce
8,600,121.1,goods,Puka Nacua,Ashton Jeanty,Quinshon Judkins,Keenan Allen,Patrick Mahomes,Cole Kmet
9,500,120.4,cognition10,Puka Nacua,Ashton Jeanty,Ladd McConkey,Jayden Daniels,D'Andre Swift,Kyle Pitts
10,400,120.1,mcc222,Bijan Robinson,Rome Odunze,Quinshon Judkins,Patrick Mahomes,Xavier Worthy,Dallas Goedert
11,300,119.8,shagnastyball17,Bucky Irving,Ashton Jeanty,Xavier Worthy,Patrick Mahomes,Jameson Williams,Dallas Goedert
12,300,119.76,futurestate,Omarion Hampton,Ashton Jeanty,Deebo Samuel,Jayden Daniels,Xavier Worthy,Hunter Henry
13,300,118.66,ez116,Puka Nacua,Amon-Ra St. Brown,Deebo Samuel,Travis Etienne Jr.,Jayden Daniels,Hunter Henry
14,300,118.62,goazcards,Christian McCaffrey,Drake London,Quinshon Judkins,Quentin Johnston,Michael Penix,Kyle Pitts
15,300,118.32,ingelx,Puka Nacua,Ashton Jeanty,Drake London,Sam LaPorta,Drake Maye,Jacory Croskey-Merritt
16,200,118.3,hotsizauce,Puka Nacua,Emeka Egbuka,Quinshon Judkins,Keenan Allen,Patrick Mahomes,Dallas Goedert
17,200,118.2,drapp,Puka Nacua,Tyler Warren,Emeka Egbuka,Chuba Hubbard,Travis Etienne Jr.,Matthew Stafford
18,200,118.02,mathology,Bijan Robinson,Bucky Irving,Zay Flowers,Drake Maye,Deebo Samuel,Dallas Goedert
19,200,117.94,tubinis2121,James Cook,Ashton Jeanty,Deebo Samuel,Xavier Worthy,Jayden Daniels,Kyle Pitts
20,200,117.9,kuruc711,Puka Nacua,Davante Adams,Tyler Warren,Michael Pittman Jr.,Travis Etienne Jr.,Matthew Stafford
21,100,117.52,d4ve,James Cook,Ashton Jeanty,Xavier Worthy,Chris Olave,Drake Maye,Dallas Goedert
21,100,117.52,urbanik,Bijan Robinson,Emeka Egbuka,Drake London,Deebo Samuel,Kyle Pitts,Michael Penix
23,100,117.3,nez,Saquon Barkley,Ashton Jeanty,Drake London,Xavier Worthy,Patrick Mahomes,Mark Andrews
24,100,117.1,kannoncash,Bijan Robinson,Jalen Hurts,Xavier Worthy,Quinshon Judkins,Quentin Johnston,Dallas Goedert
25,100,116.86,patrickbarnesyoutube,Christian McCaffrey,Ashton Jeanty,Emeka Egbuka,Jayden Daniels,D.J. Moore,Dallas Goedert
26,50,116.8,benrothlesberger,James Cook,Ashton Jeanty,Drake London,Chris Olave,Patrick Mahomes,Mark Andrews
27,50,116.68,ingelx,Puka Nacua,Ashton Jeanty,Cam Skattebo,Daniel Jones,Michael Pittman Jr.,Dallas Goedert
28,50,116.6,nez,Omarion Hampton,Ashton Jeanty,Tyler Warren,Jameson Williams,Patrick Mahomes,Hollywood Brown
29,50,116.3,krutches93,Puka Nacua,Cam Skattebo,Tyler Warren,Travis Etienne Jr.,Michael Pittman Jr.,Matthew Stafford
30,50,116.26,daddy34,Puka Nacua,Emeka Egbuka,Tyler Warren,Travis Etienne Jr.,D'Andre Swift,Baker Mayfield
31,50,115.98,kuruc711,Puka Nacua,Quinshon Judkins,Tyler Warren,Travis Etienne Jr.,Quentin Johnston,Daniel Jones
32,50,115.86,krutches93,Omarion Hampton,Ashton Jeanty,Drake London,Jayden Daniels,Zach Ertz,Michael Pittman Jr.
33,50,115.84,d4ve,Omarion Hampton,Ashton Jeanty,Deebo Samuel,Chris Olave,Kyle Pitts,Marcus Mariota
34,50,115.42,tubinis2121,Puka Nacua,Drake London,Deebo Samuel,Tony Pollard,Drake Maye,Kyle Pitts
35,50,115.22,ingelx,Puka Nacua,Cam Skattebo,Ashton Jeanty,Sam LaPorta,Michael Pittman Jr.,Drake Maye
36,50,115.12,vindep,Puka Nacua,Davante Adams,Tyler Warren,Travis Etienne Jr.,Drake Maye,D'Andre Swift
37,50,115.02,nez,Jahmyr Gibbs,Ashton Jeanty,Deebo Samuel,Xavier Worthy,Drake Maye,Hunter Henry
38,50,114.92,krutches93,James Cook,Ashton Jeanty,Deebo Samuel,Xavier Worthy,Drake Maye,Mark Andrews
39,50,114.9,daddy34,Puka Nacua,Tyler Warren,Cam Skattebo,Travis Etienne Jr.,Patrick Mahomes,Hollywood Brown
40,50,114.8,imagikarp,Puka Nacua,Cam Skattebo,Drake London,D'Andre Swift,Hunter Henry,Matthew Stafford
41,50,114.72,brycemfyy,Puka Nacua,Emeka Egbuka,Deebo Samuel,Tony Pollard,Drake Maye,Dallas Goedert
42,50,114.52,drapp,Saquon Barkley,Ashton Jeanty,Brian Thomas,Quentin Johnston,Drake Maye,Kyle Pitts
43,50,114.08,copperprices,Puka Nacua,Ashton Jeanty,Tyler Warren,Quentin Johnston,Daniel Jones,Chris Godwin
44,50,113.92,tubinis2121,Puka Nacua,Ladd McConkey,Ashton Jeanty,Drake Maye,TreVeyon Henderson,Kyle Pitts
45,50,113.9,lee121503,Puka Nacua,Emeka Egbuka,Tyler Warren,Tony Pollard,D'Andre Swift,Matthew Stafford
46,50,113.72,tubinis2121,Puka Nacua,Ashton Jeanty,Drake London,Sam LaPorta,TreVeyon Henderson,Jared Goff
47,50,113.62,goathopgrower,Puka Nacua,Emeka Egbuka,Quinshon Judkins,Drake Maye,Quentin Johnston,Harold Fannin
48,50,113.6,benrothlesberger,Puka Nacua,Jalen Hurts,Quinshon Judkins,Travis Etienne Jr.,Chris Olave,Dallas Goedert
49,50,113.52,manaray31,Puka Nacua,Ashton Jeanty,Deebo Samuel,Tony Pollard,Jayden Daniels,David Njoku
50,50,113.48,tubinis2121,James Cook,Ashton Jeanty,Deebo Samuel,Xavier Worthy,Caleb Williams,Kyle Pitts
51,35,113.2,razor33,Jahmyr Gibbs,Ashton Jeanty,Patrick Mahomes,Quentin Johnston,Dalton Kincaid,Tyquan Thornton
51,35,113.2,d4ve,Saquon Barkley,Ashton Jeanty,Drake London,Xavier Worthy,Patrick Mahomes,Cade Otton
53,35,113.04,drapp,Puka Nacua,Ashton Jeanty,Deebo Samuel,Jayden Daniels,David Montgomery,Kyle Pitts
54,35,113.02,clipfan634,Puka Nacua,Cam Skattebo,Quinshon Judkins,Justin Herbert,Quentin Johnston,Dallas Goedert
55,35,113,patrickbarnesyoutube,Puka Nacua,Cam Skattebo,Tyler Warren,Quentin Johnston,Chris Olave,Matthew Stafford
56,35,112.98,danjpreciado,Puka Nacua,Ashton Jeanty,Tyler Warren,Tetairoa McMillan,Daniel Jones,Xavier Worthy
57,35,112.92,berettajames,Puka Nacua,Ashton Jeanty,Cam Skattebo,Sam LaPorta,Quentin Johnston,Jared Goff
58,35,112.48,urbanik,Bijan Robinson,Omarion Hampton,Drake London,Deebo Samuel,Hunter Henry,Daniel Jones
59,35,112.3,nez,Puka Nacua,Emeka Egbuka,Zay Flowers,Travis Etienne Jr.,Patrick Mahomes,Brenton Strange
60,35,111.98,bwells,Puka Nacua,Rome Odunze,Emeka Egbuka,Travis Etienne Jr.,Caleb Williams,Dallas Goedert
61,35,111.82,krutches93,Bijan Robinson,Ashton Jeanty,Brian Thomas,Quentin Johnston,Drake Maye,David Njoku
62,35,111.72,craigg503,Puka Nacua,Ashton Jeanty,Chuba Hubbard,Hunter Henry,Drake Maye,Rashid Shaheed
63,35,111.62,berettajames,Bijan Robinson,Rome Odunze,Drake London,Travis Etienne Jr.,Hunter Henry,Michael Penix
64,35,111.5,thewood1105,Puka Nacua,Emeka Egbuka,Quinshon Judkins,TreVeyon Henderson,Sam LaPorta,Matthew Stafford
64,35,111.5,goods,Jonathan Taylor,Ashton Jeanty,Drake London,Patrick Mahomes,Travis Kelce,Hollywood Brown
66,35,111.46,jgfc,James Cook,Ashton Jeanty,Tyler Warren,Deebo Samuel,Jauan Jennings,Brock Purdy
66,35,111.46,overtherhine,Bijan Robinson,Emeka Egbuka,Tyler Warren,Travis Etienne Jr.,Michael Pittman Jr.,Baker Mayfield
68,35,111.36,bestballviper,Omarion Hampton,Ashton Jeanty,Xavier Worthy,Chris Olave,Hunter Henry,Baker Mayfield
68,35,111.36,hotsizauce,Puka Nacua,Emeka Egbuka,Quinshon Judkins,Sam LaPorta,Travis Etienne Jr.,Baker Mayfield
70,35,111.32,manaray31,Puka Nacua,Cam Skattebo,Quinshon Judkins,Quentin Johnston,Drake Maye,Travis Kelce
71,35,111.26,jgfc,Puka Nacua,Kyren Williams,Ashton Jeanty,Xavier Worthy,Jayden Daniels,Cole Kmet
72,35,111.22,bustersboys,Bijan Robinson,Ashton Jeanty,Brian Thomas,D.J. Moore,Drake Maye,Kyle Pitts
72,35,111.22,patrickbarnesyoutube,Jahmyr Gibbs,Ashton Jeanty,Drake London,D.J. Moore,Michael Penix,Kyle Pitts
72,35,111.22,solompls,Saquon Barkley,Ashton Jeanty,Drake London,Tetairoa McMillan,Hunter Henry,Drake Maye
75,35,111.2,daddy34,Puka Nacua,Cam Skattebo,Tyler Warren,Travis Etienne Jr.,Patrick Mahomes,Tyquan Thornton
76,35,111.1,awe419,Jahmyr Gibbs,Ashton Jeanty,Drake London,Patrick Mahomes,Travis Kelce,Jerry Jeudy
77,35,111.08,ingelx,Bijan Robinson,Ashton Jeanty,Drake London,Tetairoa McMillan,Hunter Henry,Daniel Jones
78,35,110.94,twelvefluidounces,Puka Nacua,Ashton Jeanty,Deebo Samuel,Xavier Worthy,Jayden Daniels,Isaiah Likely
79,35,110.92,bustersboys,Jonathan Taylor,Drake London,Tyler Warren,Drake Maye,Travis Etienne Jr.,Quentin Johnston
80,35,110.9,bustersboys,Puka Nacua,Davante Adams,Drake London,Sam LaPorta,D'Andre Swift,Matthew Stafford
81,35,110.82,jeffern8,James Cook,Ashton Jeanty,Tyler Warren,Justin Herbert,Quentin Johnston,Rashid Shaheed
82,35,110.6,ingelx,Omarion Hampton,Bucky Irving,Zay Flowers,Deebo Samuel,Travis Kelce,Patrick Mahomes
83,35,110.46,urbanik,Omarion Hampton,Emeka Egbuka,Quinshon Judkins,Deebo Samuel,Hunter Henry,Baker Mayfield
84,35,110.4,bustersboys,Puka Nacua,Ashton Jeanty,Ladd McConkey,Sam LaPorta,D'Andre Swift,Matthew Stafford
85,35,110.3,cirocdfs,Jahmyr Gibbs,Rome Odunze,Ashton Jeanty,Patrick Mahomes,Juwan Johnson,Xavier Worthy
86,35,110.28,crblake2,Omarion Hampton,Ashton Jeanty,Brian Thomas,Xavier Worthy,Daniel Jones,Dallas Goedert
87,35,110.24,bigfudgy,Bucky Irving,Ashton Jeanty,Quentin Johnston,Michael Pittman Jr.,Zach Ertz,Marcus Mariota
88,35,110.16,d4ve,Josh Allen,Ashton Jeanty,Drake London,Brian Thomas,Travis Kelce,Khalil Shakir
89,35,110.1,drapp,James Cook,Davante Adams,Drake London,Travis Kelce,Quentin Johnston,Matthew Stafford
89,35,110.1,asaptuna,Puka Nacua,Nico Collins,Ashton Jeanty,Cole Kmet,Jameson Williams,Matthew Stafford
91,35,109.8,danjpreciado,Puka Nacua,Cam Skattebo,Zay Flowers,Xavier Worthy,Patrick Mahomes,Kyle Pitts
92,35,109.76,nf42,Christian McCaffrey,Ashton Jeanty,Deebo Samuel,Jayden Daniels,Juwan Johnson,Stefon Diggs
93,35,109.7,daviddu316,Christian McCaffrey,Ashton Jeanty,Patrick Mahomes,Tetairoa McMillan,Travis Kelce,Hollywood Brown
94,35,109.62,nez,Puka Nacua,Ashton Jeanty,Chuba Hubbard,Drake Maye,Chris Olave,Brenton Strange
94,35,109.62,danjpreciado,Bijan Robinson,Ashton Jeanty,Tyler Warren,Keenan Allen,D.J. Moore,Drake Maye
96,35,109.6,thegrownsimba,Christian McCaffrey,Tyler Warren,Emeka Egbuka,Patrick Mahomes,D'Andre Swift,Hollywood Brown
97,35,109.58,vs11open,Puka Nacua,Ashton Jeanty,Emeka Egbuka,Keenan Allen,Hunter Henry,Daniel Jones
98,35,109.5,thegrownsimba,Saquon Barkley,Ashton Jeanty,Tyler Warren,Patrick Mahomes,Xavier Worthy,DeVonta Smith
98,35,109.5,awe419,Bijan Robinson,Ashton Jeanty,Jakobi Meyers,Patrick Mahomes,Travis Kelce,Hollywood Brown
98,35,109.5,bestballviper,Bijan Robinson,Cam Skattebo,Drake London,Patrick Mahomes,Tyquan Thornton,Kyle Pitts
101,30,109.4,kuruc711,Puka Nacua,Davante Adams,Quinshon Judkins,Sam LaPorta,D'Andre Swift,Matthew Stafford
102,30,109.22,kuruc711,Puka Nacua,Cam Skattebo,Ashton Jeanty,Quentin Johnston,Justin Herbert,Chig Okonkwo
103,30,109.2,fflinx,Bijan Robinson,Jalen Hurts,Deebo Samuel,Tony Pollard,Quentin Johnston,Dallas Goedert
104,30,109.12,bestballviper,Puka Nacua,Emeka Egbuka,Cam Skattebo,Travis Etienne Jr.,Drake Maye,Travis Kelce
105,30,109,jorland50,Jahmyr Gibbs,Ashton Jeanty,Tyler Warren,Patrick Mahomes,Jauan Jennings,Hollywood Brown
105,30,109,ahodaniel,Bijan Robinson,Davante Adams,Emeka Egbuka,Xavier Worthy,Patrick Mahomes,Dalton Kincaid
107,30,108.9,kuruc711,Saquon Barkley,Amon-Ra St. Brown,Patrick Mahomes,Xavier Worthy,Quentin Johnston,Dalton Kincaid
107,30,108.9,joekali,Saquon Barkley,Ashton Jeanty,Drake London,Patrick Mahomes,Travis Kelce,Jauan Jennings
107,30,108.9,bestballviper,Bijan Robinson,Jalen Hurts,Deebo Samuel,Xavier Worthy,D'Andre Swift,Dallas Goedert
110,30,108.78,mikec6212,Puka Nacua,Quinshon Judkins,Tyler Warren,Travis Etienne Jr.,Michael Pittman Jr.,Daniel Jones
110,30,108.78,leagueofitems,Amon-Ra St. Brown,Ashton Jeanty,Quinshon Judkins,Caleb Williams,Keon Coleman,Kyle Pitts
112,30,108.72,mitchcomp,James Cook,Bucky Irving,Drake London,Chris Olave,Kyle Pitts,Michael Penix
113,30,108.7,bashbarti,Omarion Hampton,Bucky Irving,Drake London,Brian Thomas,Juwan Johnson,Patrick Mahomes
114,30,108.64,tmoneyttime1,Bucky Irving,Amon-Ra St. Brown,Drake London,Jayden Daniels,Dallas Goedert,Nick Chubb
115,30,108.54,gabrainos,Bijan Robinson,Ashton Jeanty,Tyler Warren,Chris Olave,D.J. Moore,Jaxson Dart
116,30,108.46,urbanik,Christian McCaffrey,Drake London,Tyler Warren,Deebo Samuel,TreVeyon Henderson,Baker Mayfield
116,30,108.46,patrickbarnesyoutube,Bijan Robinson,Ashton Jeanty,Deebo Samuel,D.J. Moore,Brock Purdy,Travis Kelce
118,30,108.4,berettajames,Puka Nacua,Emeka Egbuka,Zay Flowers,TreVeyon Henderson,Hunter Henry,Matthew Stafford
118,30,108.4,kuruc711,James Cook,Amon-Ra St. Brown,Quinshon Judkins,Xavier Worthy,Patrick Mahomes,Harold Fannin
118,30,108.4,patrickbarnesyoutube,Puka Nacua,Davante Adams,Chuba Hubbard,D'Andre Swift,Matthew Stafford,Kyle Pitts
121,30,108.26,urbanik,Christian McCaffrey,Tyler Warren,Drake London,TreVeyon Henderson,Deebo Samuel,Brock Purdy
122,30,108.22,awolff225,Bijan Robinson,Cam Skattebo,Emeka Egbuka,Justin Herbert,Quentin Johnston,Dallas Goedert
122,30,108.22,jtmckenzi,Omarion Hampton,Ashton Jeanty,Brian Thomas,Chris Olave,Hunter Henry,Drake Maye
124,30,108.02,sonofkong,James Cook,Ashton Jeanty,Zay Flowers,Drake Maye,Travis Kelce,Stefon Diggs
125,30,107.94,kcpolack,Amon-Ra St. Brown,Ashton Jeanty,TreVeyon Henderson,Quentin Johnston,Juwan Johnson,Marcus Mariota
126,30,107.92,djrj21,Omarion Hampton,Ashton Jeanty,Drake London,Juwan Johnson,Jauan Jennings,Michael Penix
127,30,107.86,mikec6212,Puka Nacua,Emeka Egbuka,Quinshon Judkins,TreVeyon Henderson,Dalton Kincaid,Baker Mayfield
128,30,107.7,bigd073,Jonathan Taylor,Ashton Jeanty,Jalen Hurts,Keenan Allen,Quentin Johnston,Dallas Goedert
128,30,107.7,thewood1105,Bijan Robinson,Emeka Egbuka,Quinshon Judkins,Patrick Mahomes,Xavier Worthy,David Njoku
130,30,107.62,kuruc711,Puka Nacua,Quinshon Judkins,Ricky Pearsall,Quentin Johnston,Justin Herbert,Dallas Goedert
130,30,107.62,daddy34,Puka Nacua,Tyler Warren,Cam Skattebo,D'Andre Swift,Drake Maye,Stefon Diggs
132,30,107.4,mathology,Bucky Irving,Amon-Ra St. Brown,Tetairoa McMillan,Deebo Samuel,Patrick Mahomes,Dalton Kincaid
132,30,107.4,jtmckenzi,Saquon Barkley,Ashton Jeanty,Drake London,Sam LaPorta,D.J. Moore,Patrick Mahomes
132,30,107.4,jvtplayz,James Cook,Ashton Jeanty,Zay Flowers,Jameson Williams,Hunter Henry,Matthew Stafford
135,30,107.32,jessepatriss22,Bijan Robinson,Ashton Jeanty,Ladd McConkey,Xavier Worthy,Drake Maye,Dalton Kincaid
