place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
60,35,105.84,brorannosaurusflex,Ashton Jeanty,George Pickens,Drake Maye,Jaylen Warren,Mark Andrews,Kayshon Boutte
62,35,105.76,berettajames,Rico Dowdle,George Pickens,Quentin Johnston,Justin Herbert,Cade Otton,Kendrick Bourne
63,35,105.64,benrothlesberger,De'Von Achane,Trey McBride,Drake Maye,Quentin Johnston,Matthew Golden,Tre Tucker
64,35,105.6,awe419,Rico Dowdle,George Pickens,Jaylen Warren,Chris Olave,Jake Tonges,Aaron Rodgers
65,35,105.52,vindep,Rico Dowdle,George Pickens,Chris Olave,Hunter Henry,Trevor Lawrence,Alvin Kamara
66,35,105.44,thegrownsimba,George Pickens,Rico Dowdle,Dak Prescott,Jaylen Warren,Romeo Doubs,AJ Barner
67,35,105.2,tmoneyttime1,Josh Jacobs,Jaylen Waddle,Ladd McConkey,Kendrick Bourne,Mac Jones,Michael Mayer
68,35,105.08,fflinx,Kyren Williams,Rico Dowdle,DK Metcalf,Michael Pittman Jr.,Daniel Jones,Michael Mayer
69,35,104.88,chadcandles,George Pickens,Rico Dowdle,Ladd McConkey,Marvin Harrison,Lamar Jackson,Jake Tonges
70,35,104.86,mulatrip9,Jaxon Smith-Njigba,Rico Dowdle,Jake Ferguson,Michael Pittman Jr.,Lamar Jackson,Michael Mayer
71,35,104.74,yuungmoolahh,Jonathan Taylor,Brian Thomas,Drake Maye,David Njoku,Kayshon Boutte,Tee Higgins
72,35,104.42,cgeeeeee,Josh Jacobs,Brian Thomas,Trey McBride,Trevor Lawrence,Hassan Haskins,Kendrick Bourne
73,35,104.38,molo21,De'Von Achane,Trey McBride,Ladd McConkey,Daniel Jones,Matthew Golden,Travis Hunter
74,35,104.24,babystevie,George Pickens,Rico Dowdle,Dak Prescott,Chris Olave,Calvin Ridley,Cade Otton
75,35,104.08,brorannosaurusflex,Josh Jacobs,Tyler Warren,DK Metcalf,Daniel Jones,Matthew Golden,Kenneth Gainwell
76,35,104.06,awe419,Rico Dowdle,Rachaad White,Chris Olave,Justin Herbert,Cooper Kupp,Michael Mayer
77,35,103.9,vindep,Rico Dowdle,George Pickens,Jaylen Warren,Chris Olave,Sam Darnold,Mark Andrews
78,35,103.86,shagnastyball17,Rico Dowdle,George Pickens,Quentin Johnston,Jordan Love,Michael Mayer,Tony Pollard
78,35,103.86,thegale,Kyren Williams,Rico Dowdle,Justin Herbert,CeeDee Lamb,Ricky Pearsall,Cade Otton
80,35,103.84,dbaggot3,Ashton Jeanty,Rico Dowdle,Drake Maye,Hunter Henry,Matthew Golden,Josh Downs
81,35,103.56,berettajames,Rico Dowdle,George Pickens,Quentin Johnston,Justin Herbert,Rashid Shaheed,Cade Otton
82,35,103.54,berettajames,George Pickens,Rachaad White,Dak Prescott,DK Metcalf,Matthew Golden,AJ Barner
83,35,103.52,hotsizauce,Jaxon Smith-Njigba,Rico Dowdle,Brian Thomas,Michael Pittman Jr.,Hunter Henry,Trevor Lawrence
84,35,103.38,danjpreciado,De'Von Achane,Rico Dowdle,DK Metcalf,Michael Pittman Jr.,Jake Tonges,Mac Jones
85,35,103.28,jewishmccaffrey,De'Von Achane,Tyler Warren,Ladd McConkey,Alvin Kamara,Daniel Jones,Jakobi Meyers
86,35,103.12,nf42,Josh Jacobs,Brian Thomas,Jake Ferguson,Kendrick Bourne,Chase Brown,Trevor Lawrence
87,35,102.98,patrickbarnesyoutube,Josh Jacobs,Tyler Warren,Ladd McConkey,Daniel Jones,Tony Pollard,Tre Tucker
88,35,102.86,binnoob,Ashton Jeanty,Rico Dowdle,Justin Herbert,Darren Waller,Kendrick Bourne,Matthew Golden
88,35,102.86,sgtsweeny,Rico Dowdle,George Pickens,Jordan Love,Marvin Harrison,Mike Evans,Harold Fannin
90,35,102.84,brorannosaurusflex,Ashton Jeanty,Ja'Marr Chase,Drake Maye,Jaylen Warren,Jake Tonges,Kayshon Boutte
91,35,102.68,benrothlesberger,Josh Jacobs,Tyler Warren,DK Metcalf,Daniel Jones,Jakobi Meyers,Cooper Kupp
92,35,102.46,lineofscrimmage,Rico Dowdle,George Pickens,Romeo Doubs,Jordan Love,Matthew Golden,Cade Otton
93,35,102.44,gpngc,Rico Dowdle,Ja'Marr Chase,Drake Maye,Chase Brown,David Njoku,Cooper Kupp
94,35,102.34,keystonekannon,Josh Jacobs,Brian Thomas,Drake Maye,Calvin Ridley,Juwan Johnson,Kayshon Boutte
94,35,102.34,berettajames,George Pickens,Rachaad White,Dak Prescott,Darren Waller,Matthew Golden,Kendrick Bourne
96,35,102.32,berettajames,Josh Jacobs,Ja'Marr Chase,Brian Thomas,Jakobi Meyers,Trevor Lawrence,AJ Barner
97,35,102.2,botown,Josh Jacobs,Derrick Henry,Jake Ferguson,Matthew Golden,Kendrick Bourne,Sam Darnold
98,35,102.18,krutches93,De'Von Achane,Trey McBride,Brian Thomas,Chris Olave,CeeDee Lamb,Kyler Murray
99,35,102.14,fullyloaded,Rico Dowdle,George Pickens,Dak Prescott,Michael Carter,Zay Flowers,Cade Otton
99,35,102.14,mathology,Javonte Williams,Rachaad White,DK Metcalf,Drake Maye,Kayshon Boutte,Harold Fannin
101,30,102.1,bestballviper,Josh Jacobs,Trey McBride,Marvin Harrison,Chris Olave,Kyler Murray,Kendrick Bourne
101,30,102.1,fflinx,Rico Dowdle,Rachaad White,DK Metcalf,Romeo Doubs,Sam Darnold,AJ Barner
103,30,102.04,drapp,Ja'Marr Chase,Derrick Henry,Ladd McConkey,Drake Maye,Harold Fannin,Alvin Kamara
103,30,102.04,chadcandles,Kyren Williams,Rico Dowdle,Drake Maye,Darren Waller,Calvin Ridley,Kendrick Bourne
103,30,102.04,kobegoat2424,De'Von Achane,Derrick Henry,Jake Ferguson,Drake Maye,Chris Olave,Tee Higgins
106,30,101.98,shagnastyball17,Josh Jacobs,Jaylen Waddle,Ladd McConkey,Chris Olave,Justin Herbert,AJ Barner
106,30,101.98,berettajames,Rico Dowdle,George Pickens,Michael Pittman Jr.,Daniel Jones,Cade Otton,Tee Higgins
108,30,101.96,drapp,De'Von Achane,Ja'Marr Chase,Trey McBride,Jordan Love,Romeo Doubs,Matthew Golden
109,30,101.88,kjam112121,De'Von Achane,Tyler Warren,Marvin Harrison,Daniel Jones,Ricky Pearsall,Josh Downs
110,30,101.86,mosioatunya,Josh Jacobs,Tetairoa McMillan,Ladd McConkey,Chris Olave,Hunter Henry,Bryce Young
111,30,101.74,brorannosaurusflex,Ashton Jeanty,Ja'Marr Chase,Drake Maye,Michael Carter,Cade Otton,Kayshon Boutte
111,30,101.74,gpngc,De'Von Achane,Trey McBride,Derrick Henry,Dak Prescott,CeeDee Lamb,Tee Higgins
113,30,101.7,javi611,Josh Jacobs,Tyler Warren,Ladd McConkey,CeeDee Lamb,Chase Brown,Sam Darnold
114,30,101.66,cognition10,Jaxon Smith-Njigba,Jaylen Waddle,Drake Maye,Jaylen Warren,David Njoku,Kayshon Boutte
115,30,101.64,jeffern8,Rico Dowdle,George Pickens,Dak Prescott,Quentin Johnston,David Njoku,Rashid Shaheed
116,30,101.6,dalemcnail,Jaxon Smith-Njigba,Derrick Henry,DK Metcalf,Chris Olave,Sam Darnold,Harold Fannin
116,30,101.6,gpngc,De'Von Achane,Derrick Henry,Ladd McConkey,Cooper Kupp,Sam Darnold,AJ Barner
118,30,101.54,squanto,Rico Dowdle,George Pickens,Dak Prescott,Chase Brown,AJ Barner,Travis Hunter
118,30,101.54,gpngc,Rico Dowdle,George Pickens,Dak Prescott,Keenan Allen,Cooper Kupp,David Njoku
120,30,101.48,sjweil9,Josh Jacobs,Ladd McConkey,Jake Ferguson,Daniel Jones,Ricky Pearsall,Tee Higgins
120,30,101.48,berettajames,Rico Dowdle,George Pickens,Michael Pittman Jr.,Daniel Jones,Calvin Ridley,Michael Mayer
122,30,101.46,schubes123376,De'Von Achane,Tyler Warren,Ladd McConkey,Justin Herbert,Chase Brown,Mike Evans
123,30,101.44,brorannosaurusflex,Rico Dowdle,George Pickens,Baker Mayfield,Jaylen Warren,David Njoku,Tez Johnson
123,30,101.44,benrothlesberger,De'Von Achane,Derrick Henry,Dak Prescott,Darren Waller,Matthew Golden,Kendrick Bourne
125,30,101.38,patrickbarnesyoutube,Josh Jacobs,Derrick Henry,Tyler Warren,Daniel Jones,Chris Olave,Jerry Jeudy
126,30,101.36,basedfrank,Rico Dowdle,George Pickens,Hunter Henry,Chris Olave,Jalen Coker,Bryce Young
127,30,101.34,bustersboys,Jaxon Smith-Njigba,Trey McBride,Rachaad White,Drake Maye,Rhamondre Stevenson,Chris Olave
128,30,101.28,drapp,Josh Jacobs,Tyler Warren,Rachaad White,Jakobi Meyers,Daniel Jones,Mike Evans
128,30,101.28,wolhaiksong,Josh Jacobs,Brian Thomas,DK Metcalf,Tony Pollard,Daniel Jones,Taysom Hill
130,30,101.24,yokohama,Rico Dowdle,George Pickens,Dak Prescott,Darren Waller,Tee Higgins,Hassan Haskins
130,30,101.24,lenkeith,Ashton Jeanty,George Pickens,Drake Maye,Chris Olave,Rashid Shaheed,Michael Mayer
130,30,101.24,brorannosaurusflex,Ashton Jeanty,Ja'Marr Chase,Drake Maye,Jake Tonges,Tony Pollard,Kayshon Boutte
133,30,101.22,kuruc711,Rico Dowdle,Rachaad White,DK Metcalf,Michael Pittman Jr.,Trevor Lawrence,Michael Mayer
134,30,101.2,skeet5442,Ja'Marr Chase,Rico Dowdle,DK Metcalf,Michael Carter,David Njoku,Sam Darnold
135,30,101.14,bustersboys,Christian McCaffrey,Trey McBride,Brian Thomas,Baker Mayfield,Chris Olave,Chris Godwin
135,30,101.14,awe419,Rachaad White,George Pickens,Chris Olave,Drake Maye,Alvin Kamara,Cade Otton
135,30,101.14,lee121503,Rico Dowdle,George Pickens,Drake Maye,Hunter Henry,Rashid Shaheed,Tony Pollard
135,30,101.14,berettajames,Rico Dowdle,George Pickens,Drake Maye,Hunter Henry,Rashid Shaheed,Tony Pollard
139,30,101.04,naur0,Rico Dowdle,Drake Maye,Chris Olave,Kendrick Bourne,Cade Otton,Jalen Coker
140,30,100.9,nailsou,Jaxon Smith-Njigba,George Pickens,DK Metcalf,Darren Waller,Zach Charbonnet,Aaron Rodgers
141,30,100.78,dbsultan,De'Von Achane,Tyler Warren,Ladd McConkey,Daniel Jones,Tee Higgins,Rashid Shaheed
142,30,100.76,babystevie,George Pickens,Rico Dowdle,Jordan Love,Calvin Ridley,Matthew Golden,Harold Fannin
143,30,100.74,carpark03,Josh Jacobs,Trey McBride,Drake Maye,Chris Olave,Calvin Ridley,CeeDee Lamb
144,30,100.72,iamskiman,Christian McCaffrey,Brian Thomas,Trey McBride,Kendrick Bourne,Romeo Doubs,Trevor Lawrence
145,30,100.68,rockitsauce,Josh Jacobs,Tucker Kraft,Ladd McConkey,Daniel Jones,Chris Olave,TreVeyon Henderson
146,30,100.66,topfantasyplays,Rico Dowdle,Rachaad White,Romeo Doubs,Matthew Golden,Michael Mayer,Bryce Young
147,30,100.62,kevslice,Josh Jacobs,Brian Thomas,Ladd McConkey,Rhamondre Stevenson,Trevor Lawrence,Harold Fannin
148,30,100.58,lenkeith,Josh Jacobs,Ladd McConkey,Derrick Henry,Daniel Jones,Jake Tonges,Alec Pierce
149,30,100.54,bmiller813,George Pickens,Rico Dowdle,Dak Prescott,Michael Pittman Jr.,David Njoku,Matthew Golden
150,30,100.5,iamskiman,Josh Jacobs,Jaylen Waddle,Ladd McConkey,Jake Tonges,Kendrick Bourne,Mac Jones
151,30,100.48,lenkeith,Josh Jacobs,Tyler Warren,Brian Thomas,Jaylen Warren,Daniel Jones,Jakobi Meyers
151,30,100.48,guhreedoe,Jaxon Smith-Njigba,Tyler Warren,DK Metcalf,Daniel Jones,Chase Brown,Alvin Kamara
153,30,100.42,wonderkid1222,De'Von Achane,Trey McBride,Ladd McConkey,Calvin Ridley,Kyler Murray,Josh Downs
153,30,100.42,manaray31,Josh Jacobs,Derrick Henry,Brian Thomas,Cooper Kupp,Darren Waller,Trevor Lawrence
155,30,100.38,manaray31,Jonathan Taylor,Tyler Warren,Brian Thomas,Hunter Henry,Daniel Jones,Kendrick Bourne
156,30,100.34,kuruc711,Jonathan Taylor,Tyler Warren,Rico Dowdle,Calvin Ridley,Chris Godwin,Baker Mayfield
157,30,100.28,thegrownsimba,Josh Jacobs,Trey McBride,Michael Carter,Daniel Jones,Tre Tucker,Josh Downs
158,30,100.24,dprep80,Josh Jacobs,Derrick Henry,Drake Maye,Matthew Golden,Rashid Shaheed,Michael Mayer
158,30,100.24,gagliope,Rico Dowdle,George Pickens,Dak Prescott,Hunter Henry,Matthew Golden,Hassan Haskins
158,30,100.24,d4ve,Jonathan Taylor,Trey McBride,Drake Maye,Michael Pittman Jr.,Jaylen Warren,Kayshon Boutte
161,30,100.2,brorannosaurusflex,De'Von Achane,Trey McBride,Michael Carter,Quentin Johnston,Matthew Golden,Jacoby Brissett
162,30,100.12,gunneross,De'Von Achane,Trey McBride,Ladd McConkey,Brock Purdy,Ricky Pearsall,Zach Charbonnet
163,30,100.1,bustersboys,Josh Jacobs,Trey McBride,Ladd McConkey,Marvin Harrison,Romeo Doubs,Jacoby Brissett
164,30,100.08,fflinx,Christian McCaffrey,Rico Dowdle,Quentin Johnston,Darren Waller,Chris Godwin,Mac Jones
165,30,100.04,lenkeith,George Pickens,Rico Dowdle,Dak Prescott,Hunter Henry,CeeDee Lamb,Rashid Shaheed
166,30,100,mathology,Jonathan Taylor,Brian Thomas,Ladd McConkey,Jake Tonges,Sam Darnold,Cooper Kupp
167,30,99.98,berettajames,Josh Jacobs,Derrick Henry,Ladd McConkey,Cade Otton,Kendrick Bourne,Mac Jones
168,30,99.96,jorland50,De'Von Achane,Rico Dowdle,Keenan Allen,Justin Herbert,Chris Godwin,Taysom Hill
169,30,99.94,kobegoat2424,Ja'Marr Chase,George Pickens,Dak Prescott,DK Metcalf,TreVeyon Henderson,AJ Barner
169,30,99.94,schnee,Rachaad White,George Pickens,Dak Prescott,Jake Tonges,Kendrick Bourne,Tee Higgins
169,30,99.94,effutrollme,Rico Dowdle,George Pickens,Dak Prescott,Keenan Allen,Sterling Shepard,Chig Okonkwo
172,30,99.88,dabk,Josh Jacobs,Jake Ferguson,Rico Dowdle,Michael Pittman Jr.,Daniel Jones,Jauan Jennings
173,30,99.74,mosioatunya,De'Von Achane,Derrick Henry,Drake Maye,Chris Olave,Zay Flowers,Harold Fannin
173,30,99.74,cgeeeeee,Josh Jacobs,Tetairoa McMillan,Brian Thomas,Baker Mayfield,Hunter Henry,Tez Johnson
173,30,99.74,dreamingofsundays,George Pickens,Tetairoa McMillan,Dak Prescott,DK Metcalf,Alvin Kamara,Taysom Hill
173,30,99.74,drapp,Ja'Marr Chase,Derrick Henry,DK Metcalf,Drake Maye,Chase Brown,George Kittle
173,30,99.74,hdjdhdjdjsk,Ja'Marr Chase,George Pickens,Dak Prescott,Darren Waller,Alvin Kamara,Matthew Golden
178,30,99.66,bestballviper,Josh Jacobs,Jordan Love,Rico Dowdle,Rashid Shaheed,David Njoku,Josh Downs
178,30,99.66,patrickbarnesyoutube,Rico Dowdle,George Pickens,Jaylen Warren,Justin Herbert,Brock Bowers,Jerry Jeudy
178,30,99.66,jettns,Josh Jacobs,Jake Ferguson,Ladd McConkey,Tee Higgins,Matthew Golden,Bryce Young
178,30,99.66,noahwhit47,De'Von Achane,Trey McBride,Ladd McConkey,Justin Herbert,Matthew Golden,Travis Hunter
182,30,99.62,ndub02,Jaxon Smith-Njigba,Trey McBride,Brian Thomas,Chase Brown,Trevor Lawrence,Alvin Kamara
183,30,99.58,jtmckenzi,Josh Jacobs,Tyler Warren,Travis Etienne Jr.,Chris Olave,Daniel Jones,CeeDee Lamb
184,30,99.56,jettns,George Pickens,Tetairoa McMillan,DK Metcalf,Jake Tonges,Bryce Young,Alvin Kamara
184,30,99.56,cowboys282,Jonathan Taylor,Rico Dowdle,Quentin Johnston,Zay Flowers,Hunter Henry,Bryce Young
186,30,99.42,d4ve,Josh Jacobs,Trey McBride,Travis Etienne Jr.,Chris Olave,Kyler Murray,Josh Downs
187,30,99.28,thegrownsimba,Josh Jacobs,Tyler Warren,Ladd McConkey,Jakobi Meyers,Daniel Jones,Zay Flowers
188,30,99.18,drapp,Christian McCaffrey,Trey McBride,Brian Thomas,Tony Pollard,Daniel Jones,Josh Downs
188,30,99.18,brorannosaurusflex,Josh Jacobs,Trey McBride,DK Metcalf,Daniel Jones,Tony Pollard,Alec Pierce
190,30,99.16,tbrook3434,Ashton Jeanty,Ja'Marr Chase,Ladd McConkey,Justin Herbert,Matthew Golden,Michael Mayer
191,30,99.04,thegale,Josh Jacobs,Jake Ferguson,Dak Prescott,Romeo Doubs,Matthew Golden,Kendrick Bourne
191,30,99.04,brorannosaurusflex,Rico Dowdle,George Pickens,Dak Prescott,Chris Olave,Rhamondre Stevenson,Hunter Long
193,30,98.96,mosioatunya,Jaxon Smith-Njigba,Ja'Marr Chase,DK Metcalf,Jordan Love,Tony Pollard,Michael Mayer
193,30,98.96,guarnac6,De'Von Achane,Tyler Warren,Brian Thomas,Darren Waller,Romeo Doubs,Bryce Young
193,30,98.96,gpngc,Jaxon Smith-Njigba,Ja'Marr Chase,Ladd McConkey,Justin Herbert,Hassan Haskins,Harold Fannin
196,30,98.94,goods,George Pickens,Rico Dowdle,Dak Prescott,Chris Olave,TreVeyon Henderson,Juwan Johnson
197,30,98.88,krutches93,Josh Jacobs,Tyler Warren,Brian Thomas,Jakobi Meyers,Daniel Jones,Tony Pollard
198,30,98.84,patrickbarnesyoutube,Rico Dowdle,George Pickens,Michael Carter,Dak Prescott,Calvin Ridley,Cade Otton
199,30,98.82,saltshaker,Rico Dowdle,Jake Ferguson,Ladd McConkey,Tony Pollard,Matthew Golden,Trevor Lawrence
199,30,98.82,jbaconator,Christian McCaffrey,Brian Thomas,Ladd McConkey,Jake Tonges,Matthew Golden,Trevor Lawrence
201,30,98.76,bustersboys,Josh Jacobs,Derrick Henry,Ladd McConkey,Romeo Doubs,Jake Tonges,Bryce Young
202,30,98.74,tmoneyttime1,Josh Jacobs,Jaylen Waddle,Brian Thomas,Keenan Allen,Trevor Lawrence,Michael Mayer
203,30,98.72,piri24,Josh Jacobs,Brian Thomas,Tucker Kraft,Trevor Lawrence,Cooper Kupp,Tee Higgins
204,30,98.68,iamskiman,Josh Jacobs,Tyler Warren,Marvin Harrison,Daniel Jones,Kendrick Bourne,Tre Tucker
205,30,98.56,mariosolar,Josh Jacobs,Derrick Henry,Tyler Warren,Chris Olave,Romeo Doubs,Bryce Young
205,30,98.56,awe419,Rachaad White,George Pickens,Chris Olave,Justin Herbert,Alvin Kamara,Michael Mayer
207,30,98.54,joannihilator5,Jaxon Smith-Njigba,George Pickens,Drake Maye,Michael Carter,Rhamondre Stevenson,AJ Barner
208,30,98.48,dalemcnail,Josh Jacobs,Derrick Henry,Tyler Warren,Daniel Jones,Romeo Doubs,Tee Higgins
209,30,98.38,amacd123,Josh Jacobs,Trey McBride,Ladd McConkey,Michael Pittman Jr.,Chris Godwin,Daniel Jones
210,30,98.36,tlwright59,Rico Dowdle,Ja'Marr Chase,Ladd McConkey,Jordan Love,Calvin Ridley,AJ Barner
210,30,98.36,drapp,George Pickens,Rachaad White,DK Metcalf,Jordan Love,Romeo Doubs,Michael Mayer
212,30,98.32,chillm0nger,Josh Jacobs,Ladd McConkey,Brian Thomas,Calvin Ridley,Jake Tonges,Trevor Lawrence
213,30,98.3,dahntahnyinz,Jaxon Smith-Njigba,Derrick Henry,Brian Thomas,Cooper Kupp,Sam Darnold,AJ Barner
214,30,98.28,jtmckenzi,De'Von Achane,Rachaad White,Tucker Kraft,Zay Flowers,Daniel Jones,Chris Olave
214,30,98.28,tpdmafia,Josh Jacobs,Jake Ferguson,Ladd McConkey,Daniel Jones,Rhamondre Stevenson,Josh Downs
216,30,98.26,manaray31,Rico Dowdle,Rachaad White,Quentin Johnston,Justin Herbert,Rashid Shaheed,Michael Mayer
