place,payout,points,username,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
1,10000,131.04,brorannosaurusflex,Rico Dowdle,George Pickens,Drake Maye,Jaylen Warren,Michael Mayer,Kayshon Boutte
2,10000,124.44,jbaconator,Rico Dowdle,George Pickens,Chris Olave,Drake Maye,Matthew Golden,Michael Mayer
3,10000,122.84,awe419,Rico Dowdle,George Pickens,Chris Olave,Drake Maye,Alvin Kamara,Michael Mayer
4,1000,122.24,aaronjh22,Jaxon Smith-Njigba,Rico Dowdle,Brian Thomas,Dak Prescott,Kendrick Bourne,Taysom Hill
5,900,119.08,d4ve,Josh Jacobs,Trey McBride,Brian Thomas,Kendrick Bourne,Daniel Jones,Josh Downs
6,800,118.64,gpngc,George Pickens,Rico Dowdle,Drake Maye,DK Metcalf,Jauan Jennings,Michael Mayer
7,700,118.14,brorannosaurusflex,Rico Dowdle,George Pickens,Drake Maye,Michael Carter,Juwan Johnson,Kayshon Boutte
8,600,117.82,hotsizauce,Josh Jacobs,Rico Dowdle,Brian Thomas,Keenan Allen,Brock Bowers,Trevor Lawrence
9,500,117.28,nez,De'Von Achane,Rico Dowdle,Tyler Warren,Jakobi Meyers,Ricky Pearsall,Daniel Jones
10,400,116.74,ingelx,Jaxon Smith-Njigba,Rico Dowdle,Brian Thomas,Drake Maye,Chris Godwin,Juwan Johnson
11,300,116.32,bustersboys,Josh Jacobs,Tyler Warren,Rico Dowdle,Matthew Golden,Kyler Murray,Ricky Pearsall
12,300,115,nf42,George Pickens,Rico Dowdle,DK Metcalf,Darren Waller,Alvin Kamara,Sam Darnold
13,300,114.74,iamskiman,Rico Dowdle,George Pickens,Dak Prescott,Michael Pittman Jr.,Michael Mayer,Kendrick Bourne
13,300,114.74,brorannosaurusflex,De'Von Achane,Tetairoa McMillan,Drake Maye,Quentin Johnston,Jake Tonges,Kayshon Boutte
15,300,114.64,freshpicks,Josh Jacobs,Trey McBride,Drake Maye,Chris Olave,TreVeyon Henderson,Kayshon Boutte
16,200,114.44,nerfnerfnerf,De'Von Achane,Derrick Henry,Drake Maye,Hunter Henry,Kendrick Bourne,Kayshon Boutte
17,200,114.14,iamskiman,Rico Dowdle,George Pickens,Dak Prescott,Michael Carter,Matthew Golden,Michael Mayer
18,200,112.74,danjpreciado,De'Von Achane,Rachaad White,Brian Thomas,Drake Maye,Chris Olave,AJ Barner
18,200,112.74,lee121503,De'Von Achane,George Pickens,Jake Ferguson,Dak Prescott,Alvin Kamara,Josh Downs
20,200,112.32,thegale,Jonathan Taylor,Rico Dowdle,Trey McBride,Chris Olave,Ricky Pearsall,Kyler Murray
21,100,111.5,bradc,Jaxon Smith-Njigba,Rico Dowdle,CeeDee Lamb,Chase Brown,Jake Tonges,Sam Darnold
22,100,110.48,goods,Jaxon Smith-Njigba,Rico Dowdle,Tyler Warren,Daniel Jones,TreVeyon Henderson,Mike Evans
23,100,109.98,berettajames,Rico Dowdle,George Pickens,Michael Pittman Jr.,Daniel Jones,Cade Otton,Kendrick Bourne
24,100,109.54,fflinx,Josh Jacobs,Rachaad White,Brian Thomas,Baker Mayfield,Chris Godwin,AJ Barner
25,100,109.3,awe419,Rachaad White,Rico Dowdle,DK Metcalf,Chris Olave,Aaron Rodgers,Michael Mayer
26,50,108.94,jtmckenzi,De'Von Achane,Rico Dowdle,Dak Prescott,Keenan Allen,Darren Waller,Chris Olave
27,50,108.88,bustersboys,Christian McCaffrey,Tyler Warren,Rico Dowdle,Matthew Golden,Daniel Jones,Jakobi Meyers
28,50,108.46,jettns,George Pickens,Rico Dowdle,Keenan Allen,DK Metcalf,Bryce Young,Cade Otton
29,50,108.36,thegrownsimba,Rico Dowdle,George Pickens,Quentin Johnston,Justin Herbert,Zay Flowers,Harold Fannin
29,50,108.36,lee121503,George Pickens,Rico Dowdle,Jordan Love,Matthew Golden,Romeo Doubs,Michael Mayer
31,50,108.3,supadupa,Rico Dowdle,George Pickens,DK Metcalf,Michael Pittman Jr.,Sam Darnold,AJ Barner
32,50,108.28,spk0027,George Pickens,Rico Dowdle,Jaylen Warren,Daniel Jones,Michael Mayer,Rashid Shaheed
33,50,108.14,playerq,Rico Dowdle,George Pickens,Drake Maye,Chris Olave,Ricky Pearsall,Taysom Hill
34,50,108.02,bifftannen,Jaxon Smith-Njigba,Rico Dowdle,Brian Thomas,Michael Carter,David Njoku,Trevor Lawrence
35,50,107.76,lee121503,Rico Dowdle,George Pickens,Jaylen Warren,DK Metcalf,David Njoku,Bryce Young
36,50,107.74,fflinx,Ja'Marr Chase,Rico Dowdle,Dak Prescott,CeeDee Lamb,Jake Tonges,Chase Brown
37,50,107.54,cgeeeeee,Josh Jacobs,Derrick Henry,Drake Maye,Chris Godwin,Chris Olave,George Kittle
38,50,107.44,aaronjh22,De'Von Achane,Tyler Warren,Drake Maye,Jaylen Warren,Rashid Shaheed,Kayshon Boutte
39,50,107.38,mayormcshipit,Josh Jacobs,Derrick Henry,Ladd McConkey,Daniel Jones,Darren Waller,Josh Downs
40,50,107.34,mtmrevolt,Emeka Egbuka,Rico Dowdle,Darren Waller,Drake Maye,Chris Olave,Kayshon Boutte
40,50,107.34,noticemesenpai,George Pickens,Rico Dowdle,Drake Maye,Jaylen Warren,Jake Tonges,Rashid Shaheed
40,50,107.34,sonofsigurd,Jaxon Smith-Njigba,George Pickens,DK Metcalf,Dak Prescott,Chase Brown,Taysom Hill
43,50,107.24,bustersboys,De'Von Achane,George Pickens,Tucker Kraft,Drake Maye,Calvin Ridley,Alvin Kamara
44,50,106.94,createful,Rico Dowdle,George Pickens,Drake Maye,Marvin Harrison,Cade Otton,Tee Higgins
45,50,106.84,brorannosaurusflex,De'Von Achane,Davante Adams,Drake Maye,Michael Carter,Michael Mayer,Kayshon Boutte
45,50,106.84,fflinx,Christian McCaffrey,Stefon Diggs,Rico Dowdle,Drake Maye,CeeDee Lamb,Taysom Hill
47,50,106.74,berettajames,Rico Dowdle,George Pickens,Dak Prescott,Marvin Harrison,Kendrick Bourne,David Njoku
48,50,106.54,bhokevin,De'Von Achane,George Pickens,Dak Prescott,Michael Carter,Matthew Golden,Jake Tonges
49,50,106.48,kcpolack,Ashton Jeanty,Rico Dowdle,Ladd McConkey,DK Metcalf,Jake Tonges,Brock Purdy
50,50,106.46,danjpreciado,Rachaad White,Rico Dowdle,Quentin Johnston,Justin Herbert,Kendrick Bourne,Michael Mayer
51,35,106.38,awe419,Rachaad White,George Pickens,Chris Olave,Daniel Jones,Josh Downs,Michael Mayer
52,35,106.34,danjpreciado,Jaxon Smith-Njigba,Rico Dowdle,Drake Maye,Michael Carter,Rashid Shaheed,Jake Tonges
53,35,106.3,goazcards,Josh Jacobs,Brian Thomas,DK Metcalf,Matthew Golden,AJ Barner,Sam Darnold
54,35,106.2,dak4mvpnotme,George Pickens,Rico Dowdle,Darren Waller,DK Metcalf,Matthew Golden,Tua Tagovailoa
55,35,106.16,mikec6212,Josh Jacobs,Rico Dowdle,DK Metcalf,Brock Bowers,Matthew Golden,Geno Smith
56,35,105.98,garricktolley,Rico Dowdle,George Pickens,Quentin Johnston,Darren Waller,Kendrick Bourne,Mac Jones
57,35,105.96,gabrainos,De'Von Achane,Rico Dowdle,Ladd McConkey,Hunter Henry,Matthew Golden,Geno Smith
57,35,105.96,sonofkong,Rico Dowdle,George Pickens,Jordan Love,Romeo Doubs,Taysom Hill,Kendrick Bourne
59,35,105.9,danjpreciado,Rico Dowdle,George Pickens,Michael Carter,DK Metcalf,Aaron Rodgers,Jonnu Smith
60,35,105.84,whodeysss,Josh Jacobs,Tyler Warren,Brian Thomas,Baker Mayfield,Kendrick Bourne,Tony Pollard
